sim_second,sim_minute,phase,phase_progress,target_rps,sent_total,sent_cpu,sent_file,succ,err,avg_latency_ms,bytes,wall_time
0,0.0,Night,0.0,0.0,0,0,0,0,0,0.0,0,2025-10-10 04:41:13.493012
1,0.016666666666666666,Night,0.02777777777777778,0.02777777777777778,0,0,0,0,0,0.0,0,2025-10-10 04:41:14.493012
2,0.03333333333333333,Night,0.05555555555555556,0.05555555555555556,0,0,0,0,0,0.0,0,2025-10-10 04:41:15.493012
3,0.05,Night,0.08333333333333334,0.08333333333333334,0,0,0,0,0,0.0,0,2025-10-10 04:41:16.493012
4,0.06666666666666667,Night,0.11111111111111112,0.11111111111111112,0,0,0,0,0,0.0,0,2025-10-10 04:41:17.493012
5,0.08333333333333333,Night,0.1388888888888889,0.1388888888888889,0,0,0,0,0,0.0,0,2025-10-10 04:41:18.493012
6,0.1,Night,0.16666666666666669,0.16666666666666669,1,1,0,1,0,7.395500000000332,5000,2025-10-10 04:41:19.493012
7,0.11666666666666667,Night,0.19444444444444445,0.19444444444444445,0,0,0,0,0,0.0,0,2025-10-10 04:41:20.493012
8,0.13333333333333333,Night,0.22222222222222224,0.22222222222222224,0,0,0,0,0,0.0,0,2025-10-10 04:41:21.493012
9,0.15,Night,0.25,0.25,0,0,0,0,0,0.0,0,2025-10-10 04:41:22.493012
10,0.16666666666666666,Night,0.2777777777777778,0.2777777777777778,0,0,0,0,0,0.0,0,2025-10-10 04:41:23.493012
11,0.18333333333333332,Night,0.3055555555555555,0.3055555555555555,0,0,0,0,0,0.0,0,2025-10-10 04:41:24.493012
12,0.2,Night,0.33333333333333337,0.33333333333333337,0,0,0,0,0,0.0,0,2025-10-10 04:41:25.493012
13,0.21666666666666667,Night,0.36111111111111116,0.36111111111111116,1,1,0,1,0,3.146299999999158,5000,2025-10-10 04:41:26.493012
14,0.23333333333333334,Night,0.3888888888888889,0.3888888888888889,0,0,0,0,0,0.0,0,2025-10-10 04:41:27.493012
15,0.25,Night,0.4166666666666667,0.4166666666666667,1,1,0,1,0,17.515200000000064,5000,2025-10-10 04:41:28.493012
16,0.26666666666666666,Night,0.4444444444444445,0.4444444444444445,0,0,0,0,0,0.0,0,2025-10-10 04:41:29.493012
17,0.2833333333333333,Night,0.4722222222222222,0.4722222222222222,1,1,0,1,0,3.161900000002049,5000,2025-10-10 04:41:30.493012
18,0.3,Night,0.5,0.5,0,0,0,0,0,0.0,0,2025-10-10 04:41:31.493012
19,0.31666666666666665,Night,0.5277777777777778,0.5277777777777778,0,0,0,0,0,0.0,0,2025-10-10 04:41:32.493012
20,0.3333333333333333,Night,0.5555555555555556,0.5555555555555556,1,1,0,1,0,2.8869000000000256,5000,2025-10-10 04:41:33.493012
21,0.35,Night,0.5833333333333334,0.5833333333333334,0,0,0,0,0,0.0,0,2025-10-10 04:41:34.493012
22,0.36666666666666664,Night,0.611111111111111,0.611111111111111,0,0,0,0,0,0.0,0,2025-10-10 04:41:35.493012
23,0.38333333333333336,Night,0.638888888888889,0.638888888888889,1,1,0,1,0,16.665100000000876,5000,2025-10-10 04:41:36.493012
24,0.4,Night,0.6666666666666667,0.6666666666666667,1,1,0,1,0,3.6445000000000505,5000,2025-10-10 04:41:37.493012
25,0.4166666666666667,Night,0.6944444444444445,0.6944444444444445,1,1,0,1,0,3.213799999997491,5000,2025-10-10 04:41:38.493012
26,0.43333333333333335,Night,0.7222222222222223,0.7222222222222223,1,1,0,1,0,17.314400000000063,5000,2025-10-10 04:41:39.493012
27,0.45,Night,0.75,0.75,1,1,0,1,0,17.545599999998274,5000,2025-10-10 04:41:40.493012
28,0.4666666666666667,Night,0.7777777777777778,0.7777777777777778,1,1,0,1,0,3.5424000000006117,5000,2025-10-10 04:41:41.493012
29,0.48333333333333334,Night,0.8055555555555556,0.8055555555555556,1,1,0,1,0,3.22309999999959,5000,2025-10-10 04:41:42.493012
