ts,cpu_percent,rss_mb,power_w,energy_j_total
1760290100.312023,0.00,155.25,0.000,0.000000
1760290101.3124115,0.00,155.25,0.089,0.089488
1760290102.3120217,0.00,155.25,0.049,0.138573
1760290103.3121657,0.00,155.25,0.049,0.187185
1760290104.3119757,0.00,155.25,0.284,0.471335
1760290105.3119698,0.00,155.25,0.693,1.164536
1760290106.311982,0.00,155.25,1.438,2.602511
1760290107.3122292,1.00,155.25,0.850,3.452244
1760290108.3119688,0.00,155.25,1.254,4.705598
1760290109.3119657,0.00,155.25,1.623,6.328377
1760290110.3119845,0.00,155.25,1.057,7.384994
1760290111.3119707,0.00,155.25,0.693,8.077829
1760290112.3122833,0.00,155.25,0.377,8.454488
1760290113.311976,0.00,155.25,0.801,9.255274
1760290114.3120172,1.00,155.25,1.291,10.546177
1760290115.3119795,0.00,155.25,1.145,11.691488
1760290116.3120122,1.00,155.25,0.104,11.795121
1760290117.3122258,0.00,155.25,0.078,11.872738
1760290118.3119736,22.00,170.25,1.171,13.043072
1760290119.312,2.00,170.25,0.609,13.651653
1760290120.3120034,0.00,170.25,0.988,14.639639
1760290121.311998,0.00,170.25,0.137,14.776488
1760290122.3119662,2.00,170.38,0.382,15.158029
1760290123.3119974,0.00,170.38,0.235,15.393445
1760290124.3119972,0.00,170.38,0.117,15.510367
1760290125.311965,3.00,170.63,0.641,16.151341
1760290126.311987,1.00,170.75,1.096,17.247002
1760290127.3122458,0.00,170.75,1.066,18.313765
1760290128.3122582,2.00,171.00,0.083,18.397150
1760290129.3120413,2.00,171.13,0.261,18.658199
1760290130.3122215,2.00,171.25,0.077,18.734795
1760290131.3123376,3.00,171.38,0.135,18.869446
1760290132.3120222,0.00,171.38,0.078,18.947094
1760290133.312252,0.00,171.38,0.054,19.001291
1760290134.3122149,1.00,171.38,0.060,19.060858
1760290135.3122535,0.00,171.38,0.078,19.139254
1760290136.312215,1.00,171.38,0.074,19.213362
1760290137.311979,0.00,171.38,1.998,21.210985
1760290138.3120284,0.00,171.38,0.421,21.631511
1760290139.312592,2.00,171.50,0.109,21.740788
1760290140.3124845,3.00,171.63,0.086,21.826538
1760290141.312387,0.00,171.63,0.036,21.862395
1760290142.3122425,3.00,171.75,0.029,21.891141
1760290143.3119905,2.00,171.75,0.036,21.927455
1760290144.3119981,2.00,171.75,0.042,21.969613
1760290145.3120346,1.00,171.75,0.043,22.012320
1760290146.3120224,3.00,171.88,0.053,22.065555
1760290147.312056,3.00,172.00,0.049,22.114915
1760290148.3123958,2.00,172.13,0.051,22.165892
1760290149.3125875,2.00,172.25,0.055,22.220973
1760290150.3120158,1.00,172.25,0.057,22.278068
1760290151.3124096,3.00,173.63,0.085,22.363589
1760290152.3120363,2.00,173.63,0.085,22.448561
1760290153.3120642,2.00,173.75,0.066,22.514308
1760290154.312017,2.00,173.26,0.072,22.586204
1760290155.3120244,3.00,173.26,0.066,22.652347
1760290156.3120322,2.00,173.51,0.029,22.681780
1760290157.3120635,2.00,173.51,0.055,22.736709
1760290158.3120685,3.00,173.51,0.030,22.766630
1760290159.312042,2.00,173.63,0.053,22.819804
1760290160.3120172,2.00,173.76,0.045,22.864555
1760290161.312062,3.00,173.76,0.024,22.888968
1760290162.3120792,2.00,173.88,0.056,22.944950
1760290163.312238,2.00,173.88,0.088,23.033065
1760290164.312133,2.00,173.56,0.036,23.068646
1760290165.3120172,4.00,173.81,0.048,23.116465
1760290166.3120096,2.00,173.81,0.037,23.153862
1760290167.312224,3.00,173.81,0.091,23.244754
1760290168.3120453,2.00,174.06,0.050,23.294251
1760290169.3119693,2.00,174.06,0.046,23.339796
1760290170.311981,2.00,174.06,0.576,23.916274
1760290171.3120148,4.00,174.31,0.064,23.980083
1760290172.3119726,2.00,174.31,0.275,24.255002
1760290173.3119931,4.00,174.56,0.123,24.378408
1760290174.3120158,2.00,174.56,0.150,24.528532
1760290175.3124228,3.00,174.56,0.564,25.093200
1760290176.3123903,1.00,174.69,0.134,25.226936
1760290177.3119705,2.00,174.69,0.143,25.369385
1760290178.3122294,2.00,174.69,0.154,25.523445
1760290179.312015,3.00,174.81,0.106,25.629778
1760290180.3122518,3.00,175.19,0.113,25.742794
1760290181.3122272,4.00,175.44,0.110,25.852972
1760290182.3120239,2.00,175.44,0.064,25.917346
1760290183.3122375,4.00,175.56,0.054,25.971572
1760290184.3120136,2.00,175.56,0.022,25.993132
1760290185.3122618,2.00,175.69,0.047,26.040355
1760290186.3120441,2.00,175.69,0.027,26.067164
1760290187.312263,2.00,175.81,0.083,26.150411
1760290188.3122182,3.00,175.81,0.078,26.227953
1760290189.3122177,5.00,176.44,0.042,26.269470
1760290190.3122535,4.00,176.69,0.025,26.294569
1760290191.3120358,2.00,176.69,0.071,26.365717
1760290192.3120239,3.00,176.81,0.046,26.411903
1760290193.312335,2.00,176.94,0.051,26.463033
1760290194.312279,2.00,177.06,0.061,26.524431
1760290195.3122404,4.00,177.81,0.046,26.570861
1760290196.3121116,4.00,178.06,0.065,26.636302
1760290197.3122363,4.00,178.06,0.058,26.694435
1760290198.312007,2.00,178.19,0.100,26.794192
1760290199.3120224,2.00,177.59,0.074,26.868300
1760290200.3122392,2.00,177.71,0.043,26.911694
1760290201.3122594,4.00,177.96,0.103,27.014655
1760290202.3122208,3.00,178.09,0.044,27.059025
1760290203.312269,5.00,178.09,0.073,27.132447
1760290204.3120732,5.00,178.21,0.086,27.218273
1760290205.312226,3.00,178.46,0.068,27.286522
1760290206.3120148,3.00,178.46,0.058,27.344106
1760290207.3120267,3.00,178.59,0.056,27.400103
1760290208.3124626,1.00,178.59,0.047,27.446929
1760290209.312277,4.00,178.84,0.076,27.522472
1760290210.3122923,5.00,179.21,0.086,27.608954
1760290211.3120375,4.00,179.21,0.053,27.661625
1760290212.3122659,4.00,179.34,0.069,27.730881
1760290213.312258,4.00,179.46,0.059,27.790021
1760290214.312463,3.00,179.59,0.084,27.873986
1760290215.312261,4.00,179.71,0.099,27.972491
1760290216.3123431,3.00,179.84,0.087,28.059920
1760290217.3121188,3.00,179.84,0.073,28.132426
1760290218.3122623,3.00,180.09,0.063,28.195441
1760290219.312024,5.00,180.34,0.031,28.226720
1760290220.3120399,3.00,180.46,0.062,28.289019
1760290221.312232,4.00,180.59,0.047,28.336364
1760290222.31227,3.00,180.59,0.104,28.440561
1760290223.3123302,4.00,180.84,0.062,28.502890
1760290224.312225,5.00,180.84,0.089,28.591463
1760290225.3120222,4.00,180.96,0.060,28.651472
1760290226.3122325,5.00,181.09,0.050,28.701747
1760290227.3122325,6.00,181.46,0.045,28.746423
1760290228.3122299,5.00,181.84,0.063,28.809072
1760290229.3119695,5.00,182.09,0.203,29.011958
1760290230.3120165,2.00,182.21,0.663,29.674521
1760290231.3122287,5.00,182.34,0.108,29.782273
1760290232.3120282,3.00,182.59,0.063,29.845746
1760290233.3122628,3.00,182.71,0.068,29.913645
1760290234.3120444,4.00,182.84,0.067,29.980810
1760290235.3120294,4.00,182.84,0.038,30.018482
1760290236.3120122,3.00,183.09,0.050,30.068864
1760290237.3122363,4.00,183.21,0.069,30.138242
1760290238.3122227,4.00,183.34,0.037,30.175350
1760290239.311979,3.00,183.34,0.190,30.365510
1760290240.3120432,3.00,183.59,0.040,30.405303
1760290241.312314,5.00,183.71,0.038,30.442975
1760290242.3122606,4.00,183.96,0.045,30.488398
1760290243.312237,4.00,184.09,0.086,30.574621
1760290244.312257,3.00,184.21,0.069,30.643221
1760290245.3120244,4.00,184.46,0.056,30.699371
1760290246.312261,5.00,184.59,0.103,30.802087
1760290247.3120248,2.00,184.59,0.065,30.867407
1760290248.3122656,4.00,184.96,0.077,30.944734
1760290249.3120236,6.00,185.09,0.083,31.027738
1760290250.3122473,4.00,185.21,0.101,31.129021
1760290251.3119843,2.00,185.34,0.138,31.266968
1760290252.3122315,1.00,185.34,0.051,31.317655
1760290253.3122337,6.00,185.59,0.071,31.388849
1760290254.3123589,3.00,185.84,0.073,31.461584
1760290255.3122282,3.00,185.96,0.049,31.510471
1760290256.3122337,5.00,186.09,0.079,31.589888
1760290257.3122647,6.00,186.34,0.101,31.690973
1760290258.312025,5.00,186.59,0.085,31.775487
1760290259.3122318,6.00,186.59,0.094,31.869430
1760290260.3120399,3.00,186.59,0.078,31.947444
1760290261.3122194,4.00,186.71,0.060,32.007134
1760290262.3120122,5.00,186.96,0.075,32.082493
1760290263.3120167,3.00,187.21,0.050,32.132432
1760290264.3120239,5.00,187.34,0.074,32.206846
1760290265.3122544,3.00,187.46,0.061,32.268152
1760290266.312046,5.00,187.59,0.105,32.372639
1760290267.312014,4.00,187.71,0.030,32.402636
1760290268.312016,5.00,187.96,0.138,32.540874
1760290269.312235,4.00,188.21,0.064,32.605064
1760290270.3122551,5.00,188.46,0.111,32.715776
1760290271.312026,4.00,188.71,0.086,32.801419
1760290272.3122702,7.00,188.96,0.052,32.853480
1760290273.3122885,4.00,189.09,0.066,32.919486
1760290274.3122802,5.00,189.34,0.058,32.977649
1760290275.3120627,6.00,189.59,0.096,33.073225
1760290276.312239,7.00,189.84,0.073,33.146037
1760290277.3124409,5.00,190.09,0.071,33.217414
1760290278.312018,6.00,190.34,0.084,33.301561
1760290279.3122427,9.00,190.65,0.112,33.413631
1760290280.312243,8.00,191.53,0.054,33.468041
1760290281.312244,8.00,191.78,0.074,33.542073
1760290282.3122249,6.00,191.90,0.066,33.607591
1760290283.3122303,6.00,192.40,0.070,33.677885
1760290284.3120415,7.00,192.65,0.092,33.770074
1760290285.3124642,5.00,192.78,0.065,33.834935
