sim_second,sim_minute,phase,phase_progress,target_rps,sent_total,sent_cpu,sent_file,succ,err,avg_latency_ms,bytes,wall_time
0,0.0,Night,0.0,0.0,0,0,0,0,0,0.0,0,2025-10-12 19:28:19.781267
1,0.016666666666666666,Night,0.002777777777777778,0.016666666666666666,0,0,0,0,0,0.0,0,2025-10-12 19:28:20.781267
2,0.03333333333333333,Night,0.005555555555555556,0.03333333333333333,0,0,0,0,0,0.0,0,2025-10-12 19:28:21.781267
3,0.05,Night,0.008333333333333333,0.05,0,0,0,0,0,0.0,0,2025-10-12 19:28:22.781267
4,0.06666666666666667,Night,0.011111111111111112,0.06666666666666667,0,0,0,0,0,0.0,0,2025-10-12 19:28:23.781267
5,0.08333333333333333,Night,0.013888888888888888,0.08333333333333333,0,0,0,0,0,0.0,0,2025-10-12 19:28:24.781267
6,0.1,Night,0.016666666666666666,0.1,0,0,0,0,0,0.0,0,2025-10-12 19:28:25.781267
7,0.11666666666666667,Night,0.019444444444444445,0.11666666666666667,0,0,0,0,0,0.0,0,2025-10-12 19:28:26.781267
8,0.13333333333333333,Night,0.022222222222222223,0.13333333333333333,0,0,0,0,0,0.0,0,2025-10-12 19:28:27.781267
9,0.15,Night,0.024999999999999998,0.15,0,0,0,0,0,0.0,0,2025-10-12 19:28:28.781267
10,0.16666666666666666,Night,0.027777777777777776,0.16666666666666666,0,0,0,0,0,0.0,0,2025-10-12 19:28:29.781267
11,0.18333333333333332,Night,0.030555555555555555,0.18333333333333332,0,0,0,0,0,0.0,0,2025-10-12 19:28:30.781267
12,0.2,Night,0.03333333333333333,0.2,0,0,0,0,0,0.0,0,2025-10-12 19:28:31.781267
13,0.21666666666666667,Night,0.036111111111111115,0.21666666666666667,0,0,0,0,0,0.0,0,2025-10-12 19:28:32.781267
14,0.23333333333333334,Night,0.03888888888888889,0.23333333333333334,0,0,0,0,0,0.0,0,2025-10-12 19:28:33.781267
15,0.25,Night,0.041666666666666664,0.25,0,0,0,0,0,0.0,0,2025-10-12 19:28:34.781267
16,0.26666666666666666,Night,0.044444444444444446,0.26666666666666666,0,0,0,0,0,0.0,0,2025-10-12 19:28:35.781267
17,0.2833333333333333,Night,0.04722222222222222,0.2833333333333333,0,0,0,0,0,0.0,0,2025-10-12 19:28:36.781267
18,0.3,Night,0.049999999999999996,0.3,1,1,0,1,0,207.9356899994309,10000,2025-10-12 19:28:37.781267
19,0.31666666666666665,Night,0.05277777777777778,0.31666666666666665,1,1,0,1,0,18.85574500010989,10000,2025-10-12 19:28:38.781267
20,0.3333333333333333,Night,0.05555555555555555,0.3333333333333333,0,0,0,0,0,0.0,0,2025-10-12 19:28:39.781267
21,0.35,Night,0.05833333333333333,0.35,0,0,0,0,0,0.0,0,2025-10-12 19:28:40.781267
22,0.36666666666666664,Night,0.06111111111111111,0.36666666666666664,1,1,0,1,0,12.69127799969283,10000,2025-10-12 19:28:41.781267
23,0.38333333333333336,Night,0.0638888888888889,0.3833333333333334,0,0,0,0,0,0.0,0,2025-10-12 19:28:42.781267
24,0.4,Night,0.06666666666666667,0.4,0,0,0,0,0,0.0,0,2025-10-12 19:28:43.781267
25,0.4166666666666667,Night,0.06944444444444445,0.4166666666666667,1,1,0,1,0,12.147342000389472,10000,2025-10-12 19:28:44.781267
26,0.43333333333333335,Night,0.07222222222222223,0.43333333333333335,1,1,0,1,0,12.373282999760704,10000,2025-10-12 19:28:45.781267
27,0.45,Night,0.075,0.44999999999999996,0,0,0,0,0,0.0,0,2025-10-12 19:28:46.781267
28,0.4666666666666667,Night,0.07777777777777778,0.4666666666666667,1,1,0,1,0,18.09159299955354,10000,2025-10-12 19:28:47.781267
29,0.48333333333333334,Night,0.08055555555555556,0.4833333333333334,1,1,0,1,0,19.204607999199652,10000,2025-10-12 19:28:48.781267
30,0.5,Night,0.08333333333333333,0.5,1,1,0,1,0,17.16484899952775,10000,2025-10-12 19:28:49.781267
31,0.5166666666666667,Night,0.08611111111111112,0.5166666666666667,1,1,0,1,0,18.733238999629975,10000,2025-10-12 19:28:50.781267
32,0.5333333333333333,Night,0.08888888888888889,0.5333333333333333,0,0,0,0,0,0.0,0,2025-10-12 19:28:51.781267
33,0.55,Night,0.09166666666666667,0.55,0,0,0,0,0,0.0,0,2025-10-12 19:28:52.781267
34,0.5666666666666667,Night,0.09444444444444444,0.5666666666666667,0,0,0,0,0,0.0,0,2025-10-12 19:28:53.781267
35,0.5833333333333334,Night,0.09722222222222222,0.5833333333333334,0,0,0,0,0,0.0,0,2025-10-12 19:28:54.781267
36,0.6,Night,0.09999999999999999,0.6,0,0,0,0,0,0.0,0,2025-10-12 19:28:55.781267
37,0.6166666666666667,Night,0.10277777777777779,0.6166666666666667,0,0,0,0,0,0.0,0,2025-10-12 19:28:56.781267
38,0.6333333333333333,Night,0.10555555555555556,0.6333333333333333,0,0,0,0,0,0.0,0,2025-10-12 19:28:57.781267
39,0.65,Night,0.10833333333333334,0.65,1,1,0,1,0,20.015899999634712,10000,2025-10-12 19:28:58.781267
40,0.6666666666666666,Night,0.1111111111111111,0.6666666666666666,1,1,0,1,0,19.512753000526573,10000,2025-10-12 19:28:59.781267
41,0.6833333333333333,Night,0.11388888888888889,0.6833333333333333,0,0,0,0,0,0.0,0,2025-10-12 19:29:00.781267
42,0.7,Night,0.11666666666666665,0.7,1,1,0,1,0,18.95924800010107,10000,2025-10-12 19:29:01.781267
43,0.7166666666666667,Night,0.11944444444444445,0.7166666666666667,1,1,0,1,0,18.626029001097777,10000,2025-10-12 19:29:02.781267
44,0.7333333333333333,Night,0.12222222222222222,0.7333333333333333,1,1,0,1,0,19.14880099866423,10000,2025-10-12 19:29:03.781267
45,0.75,Night,0.125,0.75,1,1,0,1,0,18.8980660004745,10000,2025-10-12 19:29:04.781267
46,0.7666666666666667,Night,0.1277777777777778,0.7666666666666668,1,1,0,1,0,19.23645500028215,10000,2025-10-12 19:29:05.781267
47,0.7833333333333333,Night,0.13055555555555556,0.7833333333333334,1,1,0,1,0,19.47433799978171,10000,2025-10-12 19:29:06.781267
48,0.8,Night,0.13333333333333333,0.8,1,1,0,1,0,18.624701000589994,10000,2025-10-12 19:29:07.781267
49,0.8166666666666667,Night,0.1361111111111111,0.8166666666666667,0,0,0,0,0,0.0,0,2025-10-12 19:29:08.781267
50,0.8333333333333334,Night,0.1388888888888889,0.8333333333333334,1,1,0,1,0,17.332747998807463,10000,2025-10-12 19:29:09.781267
51,0.85,Night,0.14166666666666666,0.85,1,1,0,1,0,17.720236000968725,10000,2025-10-12 19:29:10.781267
52,0.8666666666666667,Night,0.14444444444444446,0.8666666666666667,1,1,0,1,0,18.63364000018919,10000,2025-10-12 19:29:11.781267
53,0.8833333333333333,Night,0.14722222222222223,0.8833333333333333,1,1,0,1,0,18.748811000477872,10000,2025-10-12 19:29:12.781267
54,0.9,Night,0.15,0.8999999999999999,1,1,0,1,0,18.73414299916476,10000,2025-10-12 19:29:13.781267
55,0.9166666666666666,Night,0.15277777777777776,0.9166666666666665,1,1,0,1,0,18.544171000030474,10000,2025-10-12 19:29:14.781267
56,0.9333333333333333,Night,0.15555555555555556,0.9333333333333333,1,1,0,1,0,18.11093599826563,10000,2025-10-12 19:29:15.781267
57,0.95,Night,0.15833333333333333,0.95,1,1,0,1,0,18.874039000365883,10000,2025-10-12 19:29:16.781267
58,0.9666666666666667,Night,0.16111111111111112,0.9666666666666668,1,1,0,1,0,18.370470999798272,10000,2025-10-12 19:29:17.781267
59,0.9833333333333333,Night,0.1638888888888889,0.9833333333333334,1,1,0,1,0,18.28868499978853,10000,2025-10-12 19:29:18.781267
60,1.0,Night,0.16666666666666666,1.0,1,1,0,1,0,18.37780400092015,10000,2025-10-12 19:29:19.781267
61,1.0166666666666666,Night,0.16944444444444443,1.0166666666666666,1,1,0,1,0,18.43186299993249,10000,2025-10-12 19:29:20.781267
62,1.0333333333333334,Night,0.17222222222222225,1.0333333333333334,1,1,0,1,0,18.40371599973878,10000,2025-10-12 19:29:21.781267
63,1.05,Night,0.17500000000000002,1.05,1,1,0,1,0,17.399166999894078,10000,2025-10-12 19:29:22.781267
64,1.0666666666666667,Night,0.17777777777777778,1.0666666666666667,2,2,0,2,0,20.984442000553827,20000,2025-10-12 19:29:23.781267
65,1.0833333333333333,Night,0.18055555555555555,1.0833333333333333,1,1,0,1,0,16.256189001069288,10000,2025-10-12 19:29:24.781267
66,1.1,Night,0.18333333333333335,1.1,1,1,0,1,0,19.4744759992318,10000,2025-10-12 19:29:25.781267
67,1.1166666666666667,Night,0.18611111111111112,1.1166666666666667,1,1,0,1,0,18.863351000618422,10000,2025-10-12 19:29:26.781267
68,1.1333333333333333,Night,0.18888888888888888,1.1333333333333333,1,1,0,1,0,19.083355999100604,10000,2025-10-12 19:29:27.781267
69,1.15,Night,0.19166666666666665,1.15,1,1,0,1,0,21.001797998906113,10000,2025-10-12 19:29:28.781267
70,1.1666666666666667,Night,0.19444444444444445,1.1666666666666667,2,2,0,2,0,17.195574499965005,20000,2025-10-12 19:29:29.781267
71,1.1833333333333333,Night,0.19722222222222222,1.1833333333333333,1,1,0,1,0,17.269467998630716,10000,2025-10-12 19:29:30.781267
72,1.2,Night,0.19999999999999998,1.2,2,2,0,2,0,18.107965999661246,20000,2025-10-12 19:29:31.781267
73,1.2166666666666666,Night,0.20277777777777775,1.2166666666666666,1,1,0,1,0,15.126620999581064,10000,2025-10-12 19:29:32.781267
74,1.2333333333333334,Night,0.20555555555555557,1.2333333333333334,1,1,0,1,0,18.79134200135013,10000,2025-10-12 19:29:33.781267
75,1.25,Night,0.20833333333333334,1.25,1,1,0,1,0,16.013484999348293,10000,2025-10-12 19:29:34.781267
76,1.2666666666666666,Night,0.2111111111111111,1.2666666666666666,1,1,0,1,0,18.134330999600934,10000,2025-10-12 19:29:35.781267
