ts,cpu_percent,rss_mb,power_w,energy_j_total
1760288408.9889688,1.00,179.12,0.000,0.000000
1760288409.9892561,0.00,179.12,0.235,0.234897
1760288410.989018,1.00,179.12,0.085,0.320235
1760288411.9892316,0.00,179.12,0.099,0.419168
1760288412.9892228,0.00,179.12,0.061,0.479819
1760288413.989045,0.00,179.12,0.071,0.550677
1760288414.9890416,1.00,179.12,0.059,0.609619
1760288415.9890234,0.00,179.12,0.043,0.652814
1760288416.9892595,0.00,179.12,0.065,0.718195
1760288417.989226,0.00,179.12,0.035,0.753639
1760288418.9892154,0.00,179.12,0.044,0.797979
1760288419.9892347,0.00,179.12,0.059,0.857103
1760288420.9892771,0.00,179.12,0.070,0.926863
1760288421.9890945,1.00,179.12,0.057,0.984065
1760288422.989256,0.00,179.12,0.084,1.067877
1760288423.989245,0.00,179.12,0.041,1.109196
1760288424.9892392,0.00,179.12,0.101,1.210372
1760288425.9890487,0.00,179.12,0.039,1.249478
1760288426.9890018,35.00,183.99,0.262,1.511473
1760288427.989222,5.00,184.24,0.097,1.608194
1760288428.9893863,0.00,184.24,0.586,2.194040
1760288429.988972,0.00,184.24,0.350,2.544150
1760288430.9890008,1.00,184.24,0.833,3.377160
1760288431.989024,0.00,184.24,0.791,4.168120
1760288432.9892304,0.00,184.24,0.164,4.332143
1760288433.9892242,11.00,186.49,0.418,4.750030
1760288434.9892852,1.00,186.49,0.217,4.966724
1760288435.9889748,1.00,186.49,0.462,5.428568
1760288436.9889712,1.00,184.30,0.152,5.580126
1760288437.988993,1.00,184.30,0.158,5.738519
1760288438.9890153,1.00,184.30,0.121,5.859439
1760288439.9889958,1.00,184.30,0.436,6.295055
1760288440.9889467,0.00,184.30,0.622,6.917489
1760288441.9892223,0.00,184.30,0.210,7.127302
1760288442.9892287,1.00,184.30,0.091,7.217843
1760288443.9893663,0.00,184.30,0.071,7.288518
1760288444.989019,2.00,184.30,0.075,7.363511
1760288445.9889843,0.00,184.30,0.270,7.633364
1760288446.98925,0.00,184.30,0.069,7.702254
1760288447.988972,1.00,184.30,0.169,7.871267
1760288448.9889686,3.00,184.30,0.234,8.105706
1760288449.9889767,0.00,184.30,0.327,8.432243
1760288450.9889734,1.00,184.30,0.200,8.632382
1760288451.9889956,1.00,184.30,0.576,9.208356
1760288452.9892635,2.00,184.30,0.086,9.294518
1760288453.988997,0.00,184.30,0.205,9.498990
1760288454.9889693,1.00,184.30,0.328,9.827221
1760288455.9890335,2.00,184.30,0.078,9.904930
1760288456.9890087,1.00,184.30,0.166,10.070998
1760288457.9892704,0.00,184.30,0.168,10.239522
1760288458.9892578,2.00,184.30,0.096,10.336014
1760288459.9890265,1.00,184.30,0.117,10.452524
1760288460.989297,1.00,184.30,0.056,10.508658
1760288461.9889815,2.00,184.30,0.138,10.647109
1760288462.9889684,1.00,184.30,0.340,10.987485
1760288463.9889925,1.00,184.30,0.639,11.626230
1760288464.988962,1.00,184.30,0.123,11.749011
1760288465.988961,1.00,184.30,1.052,12.801310
1760288466.9890232,1.00,184.30,0.170,12.971665
1760288467.9892766,0.00,184.30,0.182,13.153739
1760288468.9889686,2.00,184.30,0.104,13.257585
1760288469.9889696,1.00,184.30,0.542,13.799504
1760288470.9889672,0.00,184.30,0.338,14.137560
1760288471.9890182,2.00,184.30,0.182,14.319115
1760288472.9889674,1.00,184.30,0.211,14.529782
1760288473.9890084,1.00,184.30,0.133,14.662923
1760288474.9892316,2.00,184.30,0.086,14.749222
1760288475.9892256,1.00,184.30,0.048,14.797621
1760288476.9890103,1.00,184.30,0.145,14.942496
1760288477.9889636,1.00,184.30,0.498,15.440639
1760288478.9890575,3.00,184.30,0.275,15.715329
1760288479.988975,1.00,184.30,0.348,16.063684
1760288480.9889987,1.00,184.30,0.154,16.217988
1760288481.989001,2.00,184.30,0.102,16.319652
1760288482.989017,1.00,184.30,0.054,16.373971
1760288483.9890034,1.00,184.30,0.048,16.421606
1760288484.9890158,2.00,184.30,0.456,16.877515
1760288485.9889688,1.00,184.30,0.187,17.064090
1760288486.9889703,2.00,184.30,0.208,17.271706
1760288487.989404,1.00,184.30,0.122,17.393998
1760288488.989347,1.00,184.30,0.055,17.449019
1760288489.9889765,3.00,184.30,0.181,17.629887
1760288490.9889767,1.00,184.30,0.323,17.953006
1760288491.9889743,2.00,184.30,0.193,18.145989
1760288492.9889987,1.00,184.30,0.049,18.195440
1760288493.9889684,1.00,184.30,0.142,18.337614
1760288494.9889717,0.00,184.30,0.129,18.466483
1760288495.9889672,1.00,184.30,0.525,18.991587
1760288496.9890227,2.00,184.30,0.310,19.301737
1760288497.989248,2.00,184.30,0.605,19.906854
1760288498.9889712,2.00,184.30,0.430,20.336580
1760288499.9889708,1.00,184.30,0.117,20.453868
1760288500.9889653,1.00,184.30,0.150,20.604343
1760288501.9889932,2.00,184.30,0.090,20.693861
1760288502.989008,0.00,184.30,0.135,20.828986
1760288503.989018,3.00,184.30,0.074,20.903232
1760288504.9892223,2.00,184.30,0.086,20.989348
1760288505.9889715,2.00,184.30,0.121,21.110634
1760288506.9890525,2.00,184.30,0.132,21.242493
1760288507.9893641,2.00,184.30,0.079,21.321514
1760288508.9889667,2.00,184.30,0.153,21.474644
1760288509.9889708,1.00,184.30,0.219,21.693657
1760288510.988995,2.00,184.30,0.186,21.879606
1760288511.9889936,1.00,184.30,0.233,22.112871
1760288512.989264,1.00,184.30,0.168,22.280541
1760288513.989271,2.00,184.30,0.067,22.347340
1760288514.989225,2.00,184.30,0.071,22.418702
1760288515.9892251,1.00,184.30,0.111,22.529658
1760288516.9894438,2.00,184.30,0.053,22.583076
1760288517.9889987,1.00,184.30,0.167,22.750182
1760288518.9892302,2.00,184.30,0.219,22.969241
1760288519.9892337,1.00,184.30,0.147,23.116328
1760288520.9889703,3.00,184.30,0.083,23.199164
1760288521.9889653,1.00,184.30,0.094,23.293291
1760288522.9889703,1.00,184.30,0.201,23.494254
1760288523.9889703,3.00,184.30,0.123,23.616882
1760288524.988972,3.00,184.43,0.209,23.825535
1760288525.9889715,2.00,184.43,0.132,23.957197
1760288526.9889708,2.00,184.43,0.394,24.351555
1760288527.988962,1.00,184.43,0.759,25.110305
1760288528.9889643,3.00,184.55,0.523,25.633181
1760288529.9889662,1.00,184.55,0.266,25.899113
1760288530.9889703,2.00,184.55,0.275,26.173803
1760288531.9889874,2.00,184.55,0.759,26.933071
1760288532.988973,1.00,184.55,0.813,27.745666
1760288533.988972,5.00,184.55,0.590,28.335953
1760288534.9889657,3.00,184.55,0.291,28.626923
1760288535.989441,3.00,184.55,0.550,29.176897
1760288536.9890068,3.00,184.55,0.313,29.489778
1760288537.9892287,2.00,184.55,0.395,29.884884
1760288538.9892256,4.00,184.68,0.232,30.116729
1760288539.9890609,2.00,184.68,0.068,30.185039
1760288540.9892316,1.00,184.68,0.476,30.661440
1760288541.9889662,1.00,184.68,1.181,31.842470
