sim_second,sim_minute,phase,phase_progress,target_rps,sent_total,sent_cpu,sent_file,succ,err,avg_latency_ms,bytes,wall_time
0,0.0,Night,0.0,0.0,0,0,0,0,0,0.0,0,2025-10-12 19:00:08.451510
1,0.016666666666666666,Night,0.002777777777777778,0.016666666666666666,0,0,0,0,0,0.0,0,2025-10-12 19:00:09.451510
2,0.03333333333333333,Night,0.005555555555555556,0.03333333333333333,0,0,0,0,0,0.0,0,2025-10-12 19:00:10.451510
3,0.05,Night,0.008333333333333333,0.05,0,0,0,0,0,0.0,0,2025-10-12 19:00:11.451510
4,0.06666666666666667,Night,0.011111111111111112,0.06666666666666667,0,0,0,0,0,0.0,0,2025-10-12 19:00:12.451510
5,0.08333333333333333,Night,0.013888888888888888,0.08333333333333333,0,0,0,0,0,0.0,0,2025-10-12 19:00:13.451510
6,0.1,Night,0.016666666666666666,0.1,0,0,0,0,0,0.0,0,2025-10-12 19:00:14.451510
7,0.11666666666666667,Night,0.019444444444444445,0.11666666666666667,0,0,0,0,0,0.0,0,2025-10-12 19:00:15.451510
8,0.13333333333333333,Night,0.022222222222222223,0.13333333333333333,0,0,0,0,0,0.0,0,2025-10-12 19:00:16.451510
9,0.15,Night,0.024999999999999998,0.15,0,0,0,0,0,0.0,0,2025-10-12 19:00:17.451510
10,0.16666666666666666,Night,0.027777777777777776,0.16666666666666666,0,0,0,0,0,0.0,0,2025-10-12 19:00:18.451510
11,0.18333333333333332,Night,0.030555555555555555,0.18333333333333332,0,0,0,0,0,0.0,0,2025-10-12 19:00:19.451510
12,0.2,Night,0.03333333333333333,0.2,0,0,0,0,0,0.0,0,2025-10-12 19:00:20.451510
13,0.21666666666666667,Night,0.036111111111111115,0.21666666666666667,0,0,0,0,0,0.0,0,2025-10-12 19:00:21.451510
14,0.23333333333333334,Night,0.03888888888888889,0.23333333333333334,0,0,0,0,0,0.0,0,2025-10-12 19:00:22.451510
15,0.25,Night,0.041666666666666664,0.25,0,0,0,0,0,0.0,0,2025-10-12 19:00:23.451510
16,0.26666666666666666,Night,0.044444444444444446,0.26666666666666666,0,0,0,0,0,0.0,0,2025-10-12 19:00:24.451510
17,0.2833333333333333,Night,0.04722222222222222,0.2833333333333333,0,0,0,0,0,0.0,0,2025-10-12 19:00:25.451510
18,0.3,Night,0.049999999999999996,0.3,1,1,0,1,0,188.81925900132046,10000,2025-10-12 19:00:26.451510
19,0.31666666666666665,Night,0.05277777777777778,0.31666666666666665,1,1,0,1,0,24.241004000941757,10000,2025-10-12 19:00:27.451510
20,0.3333333333333333,Night,0.05555555555555555,0.3333333333333333,0,0,0,0,0,0.0,0,2025-10-12 19:00:28.451510
21,0.35,Night,0.05833333333333333,0.35,0,0,0,0,0,0.0,0,2025-10-12 19:00:29.451510
22,0.36666666666666664,Night,0.06111111111111111,0.36666666666666664,1,1,0,1,0,7.664165999813122,10000,2025-10-12 19:00:30.451510
23,0.38333333333333336,Night,0.0638888888888889,0.3833333333333334,0,0,0,0,0,0.0,0,2025-10-12 19:00:31.451510
24,0.4,Night,0.06666666666666667,0.4,0,0,0,0,0,0.0,0,2025-10-12 19:00:32.451510
25,0.4166666666666667,Night,0.06944444444444445,0.4166666666666667,1,1,0,1,0,12.211680999826058,10000,2025-10-12 19:00:33.451510
26,0.43333333333333335,Night,0.07222222222222223,0.43333333333333335,1,1,0,1,0,8.665638000820763,10000,2025-10-12 19:00:34.451510
27,0.45,Night,0.075,0.44999999999999996,0,0,0,0,0,0.0,0,2025-10-12 19:00:35.451510
28,0.4666666666666667,Night,0.07777777777777778,0.4666666666666667,1,1,0,1,0,9.703917001388618,10000,2025-10-12 19:00:36.451510
29,0.48333333333333334,Night,0.08055555555555556,0.4833333333333334,1,1,0,1,0,7.8255030002765125,10000,2025-10-12 19:00:37.451510
30,0.5,Night,0.08333333333333333,0.5,1,1,0,1,0,8.4086879996903,10000,2025-10-12 19:00:38.451510
31,0.5166666666666667,Night,0.08611111111111112,0.5166666666666667,1,1,0,1,0,6.1906289993203245,10000,2025-10-12 19:00:39.451510
32,0.5333333333333333,Night,0.08888888888888889,0.5333333333333333,0,0,0,0,0,0.0,0,2025-10-12 19:00:40.451510
33,0.55,Night,0.09166666666666667,0.55,0,0,0,0,0,0.0,0,2025-10-12 19:00:41.451510
34,0.5666666666666667,Night,0.09444444444444444,0.5666666666666667,0,0,0,0,0,0.0,0,2025-10-12 19:00:42.451510
35,0.5833333333333334,Night,0.09722222222222222,0.5833333333333334,0,0,0,0,0,0.0,0,2025-10-12 19:00:43.451510
36,0.6,Night,0.09999999999999999,0.6,0,0,0,0,0,0.0,0,2025-10-12 19:00:44.451510
37,0.6166666666666667,Night,0.10277777777777779,0.6166666666666667,0,0,0,0,0,0.0,0,2025-10-12 19:00:45.451510
38,0.6333333333333333,Night,0.10555555555555556,0.6333333333333333,0,0,0,0,0,0.0,0,2025-10-12 19:00:46.451510
39,0.65,Night,0.10833333333333334,0.65,1,1,0,1,0,12.107686001399998,10000,2025-10-12 19:00:47.451510
40,0.6666666666666666,Night,0.1111111111111111,0.6666666666666666,1,1,0,1,0,11.358623998603434,10000,2025-10-12 19:00:48.451510
41,0.6833333333333333,Night,0.11388888888888889,0.6833333333333333,0,0,0,0,0,0.0,0,2025-10-12 19:00:49.451510
42,0.7,Night,0.11666666666666665,0.7,1,1,0,1,0,11.009342000761535,10000,2025-10-12 19:00:50.451510
43,0.7166666666666667,Night,0.11944444444444445,0.7166666666666667,1,1,0,1,0,7.808390999343828,10000,2025-10-12 19:00:51.451510
44,0.7333333333333333,Night,0.12222222222222222,0.7333333333333333,1,1,0,1,0,11.278026000582031,10000,2025-10-12 19:00:52.451510
45,0.75,Night,0.125,0.75,1,1,0,1,0,4.827094000575016,10000,2025-10-12 19:00:53.451510
46,0.7666666666666667,Night,0.1277777777777778,0.7666666666666668,1,1,0,1,0,7.926215999759734,10000,2025-10-12 19:00:54.451510
47,0.7833333333333333,Night,0.13055555555555556,0.7833333333333334,1,1,0,1,0,10.823003000041354,10000,2025-10-12 19:00:55.451510
48,0.8,Night,0.13333333333333333,0.8,1,1,0,1,0,6.942064999748254,10000,2025-10-12 19:00:56.451510
49,0.8166666666666667,Night,0.1361111111111111,0.8166666666666667,0,0,0,0,0,0.0,0,2025-10-12 19:00:57.451510
50,0.8333333333333334,Night,0.1388888888888889,0.8333333333333334,1,1,0,1,0,9.701891000077012,10000,2025-10-12 19:00:58.451510
51,0.85,Night,0.14166666666666666,0.85,1,1,0,1,0,11.14141399921209,10000,2025-10-12 19:00:59.451510
52,0.8666666666666667,Night,0.14444444444444446,0.8666666666666667,1,1,0,1,0,10.791014999995241,10000,2025-10-12 19:01:00.451510
53,0.8833333333333333,Night,0.14722222222222223,0.8833333333333333,1,1,0,1,0,8.30462100020668,10000,2025-10-12 19:01:01.451510
54,0.9,Night,0.15,0.8999999999999999,1,1,0,1,0,8.85169799948926,10000,2025-10-12 19:01:02.451510
55,0.9166666666666666,Night,0.15277777777777776,0.9166666666666665,1,1,0,1,0,7.710750998739968,10000,2025-10-12 19:01:03.451510
56,0.9333333333333333,Night,0.15555555555555556,0.9333333333333333,1,1,0,1,0,7.243854000989813,10000,2025-10-12 19:01:04.451510
57,0.95,Night,0.15833333333333333,0.95,1,1,0,1,0,8.312094998473185,10000,2025-10-12 19:01:05.451510
58,0.9666666666666667,Night,0.16111111111111112,0.9666666666666668,1,1,0,1,0,11.120671000753646,10000,2025-10-12 19:01:06.451510
59,0.9833333333333333,Night,0.1638888888888889,0.9833333333333334,1,1,0,1,0,10.937475000901031,10000,2025-10-12 19:01:07.451510
60,1.0,Night,0.16666666666666666,1.0,1,1,0,1,0,7.358744000157458,10000,2025-10-12 19:01:08.451510
61,1.0166666666666666,Night,0.16944444444444443,1.0166666666666666,1,1,0,1,0,6.832342000052449,10000,2025-10-12 19:01:09.451510
62,1.0333333333333334,Night,0.17222222222222225,1.0333333333333334,1,1,0,1,0,4.651371000363724,10000,2025-10-12 19:01:10.451510
63,1.05,Night,0.17500000000000002,1.05,1,1,0,1,0,7.02161499975773,10000,2025-10-12 19:01:11.451510
64,1.0666666666666667,Night,0.17777777777777778,1.0666666666666667,2,2,0,2,0,7.147995000195806,20000,2025-10-12 19:01:12.451510
65,1.0833333333333333,Night,0.18055555555555555,1.0833333333333333,1,1,0,1,0,11.046359000829398,10000,2025-10-12 19:01:13.451510
66,1.1,Night,0.18333333333333335,1.1,1,1,0,1,0,7.706491000135429,10000,2025-10-12 19:01:14.451510
67,1.1166666666666667,Night,0.18611111111111112,1.1166666666666667,1,1,0,1,0,11.15300799938268,10000,2025-10-12 19:01:15.451510
68,1.1333333333333333,Night,0.18888888888888888,1.1333333333333333,1,1,0,1,0,6.913568000527448,10000,2025-10-12 19:01:16.451510
69,1.15,Night,0.19166666666666665,1.15,1,1,0,1,0,5.629305000184104,10000,2025-10-12 19:01:17.451510
70,1.1666666666666667,Night,0.19444444444444445,1.1666666666666667,2,2,0,2,0,5.670791500051564,20000,2025-10-12 19:01:18.451510
71,1.1833333333333333,Night,0.19722222222222222,1.1833333333333333,1,1,0,1,0,7.33499799935089,10000,2025-10-12 19:01:19.451510
72,1.2,Night,0.19999999999999998,1.2,2,2,0,2,0,8.275985999716795,20000,2025-10-12 19:01:20.451510
73,1.2166666666666666,Night,0.20277777777777775,1.2166666666666666,1,1,0,1,0,8.106478999252431,10000,2025-10-12 19:01:21.451510
74,1.2333333333333334,Night,0.20555555555555557,1.2333333333333334,1,1,0,1,0,12.291789998926106,10000,2025-10-12 19:01:22.451510
75,1.25,Night,0.20833333333333334,1.25,1,1,0,1,0,10.876641001232201,10000,2025-10-12 19:01:23.451510
76,1.2666666666666666,Night,0.2111111111111111,1.2666666666666666,1,1,0,1,0,6.983550998484134,10000,2025-10-12 19:01:24.451510
77,1.2833333333333334,Night,0.2138888888888889,1.2833333333333334,1,1,0,1,0,8.500179999828106,10000,2025-10-12 19:01:25.451510
78,1.3,Night,0.21666666666666667,1.3,2,2,0,2,0,8.201359500162653,20000,2025-10-12 19:01:26.451510
79,1.3166666666666667,Night,0.21944444444444444,1.3166666666666667,1,1,0,1,0,10.944178999125143,10000,2025-10-12 19:01:27.451510
80,1.3333333333333333,Night,0.2222222222222222,1.3333333333333333,2,2,0,2,0,10.843501000636024,20000,2025-10-12 19:01:28.451510
81,1.35,Night,0.225,1.35,1,1,0,1,0,7.91001099969435,10000,2025-10-12 19:01:29.451510
82,1.3666666666666667,Night,0.22777777777777777,1.3666666666666667,2,2,0,2,0,8.029162500861275,20000,2025-10-12 19:01:30.451510
83,1.3833333333333333,Night,0.23055555555555554,1.3833333333333333,1,1,0,1,0,7.433965000018361,10000,2025-10-12 19:01:31.451510
84,1.4,Night,0.2333333333333333,1.4,1,1,0,1,0,7.447933001458296,10000,2025-10-12 19:01:32.451510
85,1.4166666666666667,Night,0.23611111111111113,1.4166666666666667,1,1,0,1,0,7.74930399893492,10000,2025-10-12 19:01:33.451510
86,1.4333333333333333,Night,0.2388888888888889,1.4333333333333333,1,1,0,1,0,5.228687999988324,10000,2025-10-12 19:01:34.451510
87,1.45,Night,0.24166666666666667,1.45,1,1,0,1,0,5.3330329992604675,10000,2025-10-12 19:01:35.451510
88,1.4666666666666666,Night,0.24444444444444444,1.4666666666666666,2,2,0,2,0,11.87238550028269,20000,2025-10-12 19:01:36.451510
89,1.4833333333333334,Night,0.24722222222222223,1.4833333333333334,2,2,0,2,0,10.799219999171328,20000,2025-10-12 19:01:37.451510
90,1.5,Night,0.25,1.5,1,1,0,1,0,7.330108999667573,10000,2025-10-12 19:01:38.451510
91,1.5166666666666666,Night,0.25277777777777777,1.5166666666666666,1,1,0,1,0,7.10689199877379,10000,2025-10-12 19:01:39.451510
92,1.5333333333333334,Night,0.2555555555555556,1.5333333333333337,1,1,0,1,0,9.927901000992279,10000,2025-10-12 19:01:40.451510
93,1.55,Night,0.25833333333333336,1.5500000000000003,1,1,0,1,0,7.5128179996681865,10000,2025-10-12 19:01:41.451510
94,1.5666666666666667,Night,0.2611111111111111,1.5666666666666669,2,2,0,2,0,11.115641999822401,20000,2025-10-12 19:01:42.451510
95,1.5833333333333333,Night,0.2638888888888889,1.5833333333333335,2,2,0,2,0,10.735629000009794,20000,2025-10-12 19:01:43.451510
96,1.6,Night,0.26666666666666666,1.6,2,2,0,2,0,11.407478999899467,20000,2025-10-12 19:01:44.451510
97,1.6166666666666667,Night,0.26944444444444443,1.6166666666666667,2,2,0,2,0,10.94536600066931,20000,2025-10-12 19:01:45.451510
98,1.6333333333333333,Night,0.2722222222222222,1.6333333333333333,1,1,0,1,0,11.29890899937891,10000,2025-10-12 19:01:46.451510
99,1.65,Night,0.27499999999999997,1.65,2,2,0,2,0,10.651224499270029,20000,2025-10-12 19:01:47.451510
100,1.6666666666666667,Night,0.2777777777777778,1.6666666666666667,2,2,0,2,0,7.5913549999313545,20000,2025-10-12 19:01:48.451510
101,1.6833333333333333,Night,0.28055555555555556,1.6833333333333333,2,2,0,2,0,10.94410850055283,20000,2025-10-12 19:01:49.451510
102,1.7,Night,0.2833333333333333,1.7,1,1,0,1,0,7.0268529998429585,10000,2025-10-12 19:01:50.451510
103,1.7166666666666666,Night,0.2861111111111111,1.7166666666666666,2,2,0,2,0,8.66095800029143,20000,2025-10-12 19:01:51.451510
104,1.7333333333333334,Night,0.2888888888888889,1.7333333333333334,1,1,0,1,0,10.86916799977189,10000,2025-10-12 19:01:52.451510
105,1.75,Night,0.2916666666666667,1.75,2,2,0,2,0,7.98432400006277,20000,2025-10-12 19:01:53.451510
106,1.7666666666666666,Night,0.29444444444444445,1.7666666666666666,1,1,0,1,0,10.772924999400857,10000,2025-10-12 19:01:54.451510
107,1.7833333333333334,Night,0.2972222222222222,1.7833333333333332,2,2,0,2,0,10.88132049972046,20000,2025-10-12 19:01:55.451510
108,1.8,Night,0.3,1.7999999999999998,2,2,0,2,0,7.9753139998501865,20000,2025-10-12 19:01:56.451510
109,1.8166666666666667,Night,0.30277777777777776,1.8166666666666664,2,2,0,2,0,6.839954499810119,20000,2025-10-12 19:01:57.451510
110,1.8333333333333333,Night,0.3055555555555555,1.833333333333333,2,2,0,2,0,8.07714450002095,20000,2025-10-12 19:01:58.451510
111,1.85,Night,0.30833333333333335,1.85,2,2,0,2,0,7.701671999711834,20000,2025-10-12 19:01:59.451510
112,1.8666666666666667,Night,0.3111111111111111,1.8666666666666667,2,2,0,2,0,8.322151500578912,20000,2025-10-12 19:02:00.451510
113,1.8833333333333333,Night,0.3138888888888889,1.8833333333333333,2,2,0,2,0,7.596418500725122,20000,2025-10-12 19:02:01.451510
114,1.9,Night,0.31666666666666665,1.9,2,2,0,2,0,7.765821001157747,20000,2025-10-12 19:02:02.451510
115,1.9166666666666667,Night,0.3194444444444445,1.916666666666667,2,2,0,2,0,7.915563500318967,20000,2025-10-12 19:02:03.451510
116,1.9333333333333333,Night,0.32222222222222224,1.9333333333333336,2,2,0,2,0,7.517077499869629,20000,2025-10-12 19:02:04.451510
117,1.95,Night,0.325,1.9500000000000002,2,2,0,2,0,11.12056600049982,20000,2025-10-12 19:02:05.451510
118,1.9666666666666666,Night,0.3277777777777778,1.9666666666666668,2,2,0,2,0,7.7911389998917,20000,2025-10-12 19:02:06.451510
119,1.9833333333333334,Night,0.33055555555555555,1.9833333333333334,2,2,0,2,0,11.495689999719616,20000,2025-10-12 19:02:07.451510
120,2.0,Night,0.3333333333333333,2.0,2,2,0,2,0,7.653235499674338,20000,2025-10-12 19:02:08.451510
121,2.0166666666666666,Night,0.3361111111111111,2.0166666666666666,2,2,0,2,0,7.669858000554086,20000,2025-10-12 19:02:09.451510
122,2.033333333333333,Night,0.33888888888888885,2.033333333333333,2,2,0,2,0,6.1160374998507905,20000,2025-10-12 19:02:10.451510
123,2.05,Night,0.3416666666666666,2.05,2,2,0,2,0,7.768021500851319,20000,2025-10-12 19:02:11.451510
124,2.066666666666667,Night,0.3444444444444445,2.066666666666667,2,2,0,2,0,10.454582500642573,20000,2025-10-12 19:02:12.451510
125,2.0833333333333335,Night,0.34722222222222227,2.0833333333333335,2,2,0,2,0,8.272179499726917,20000,2025-10-12 19:02:13.451510
126,2.1,Night,0.35000000000000003,2.1,2,2,0,2,0,8.191406500372977,20000,2025-10-12 19:02:14.451510
127,2.1166666666666667,Night,0.3527777777777778,2.1166666666666667,3,3,0,3,0,10.337852333274592,30000,2025-10-12 19:02:15.451510
128,2.1333333333333333,Night,0.35555555555555557,2.1333333333333333,2,2,0,2,0,11.712550999618543,20000,2025-10-12 19:02:16.451510
129,2.15,Night,0.35833333333333334,2.15,2,2,0,2,0,11.523103000399715,20000,2025-10-12 19:02:17.451510
130,2.1666666666666665,Night,0.3611111111111111,2.1666666666666665,2,2,0,2,0,11.514722000356414,20000,2025-10-12 19:02:18.451510
131,2.183333333333333,Night,0.3638888888888889,2.183333333333333,2,2,0,2,0,5.362226999750419,20000,2025-10-12 19:02:19.451510
132,2.2,Night,0.3666666666666667,2.2,2,2,0,2,0,5.109361999529938,20000,2025-10-12 19:02:20.451510
133,2.216666666666667,Night,0.36944444444444446,2.216666666666667,2,2,0,2,0,6.565264000528259,20000,2025-10-12 19:02:21.451510
134,2.2333333333333334,Night,0.37222222222222223,2.2333333333333334,2,2,0,2,0,5.078736000541539,20000,2025-10-12 19:02:22.451510
135,2.25,Night,0.375,2.25,2,2,0,2,0,6.18434299940418,20000,2025-10-12 19:02:23.451510
136,2.2666666666666666,Night,0.37777777777777777,2.2666666666666666,2,2,0,2,0,5.804784499559901,20000,2025-10-12 19:02:24.451510
137,2.283333333333333,Night,0.38055555555555554,2.283333333333333,2,2,0,2,0,7.140067999898747,20000,2025-10-12 19:02:25.451510
138,2.3,Night,0.3833333333333333,2.3,2,2,0,2,0,5.052370499470271,20000,2025-10-12 19:02:26.451510
139,2.316666666666667,Night,0.3861111111111111,2.316666666666667,2,2,0,2,0,5.235393000475597,20000,2025-10-12 19:02:27.451510
140,2.3333333333333335,Night,0.3888888888888889,2.3333333333333335,3,3,0,3,0,10.54358500005037,30000,2025-10-12 19:02:28.451510
141,2.35,Night,0.39166666666666666,2.35,2,2,0,2,0,9.590177000063704,20000,2025-10-12 19:02:29.451510
142,2.3666666666666667,Night,0.39444444444444443,2.3666666666666667,2,2,0,2,0,6.957743500606739,20000,2025-10-12 19:02:30.451510
143,2.3833333333333333,Night,0.3972222222222222,2.3833333333333333,3,3,0,3,0,6.806476666800639,30000,2025-10-12 19:02:31.451510
144,2.4,Night,0.39999999999999997,2.4,2,2,0,2,0,5.404621000707266,20000,2025-10-12 19:02:32.451510
145,2.4166666666666665,Night,0.40277777777777773,2.4166666666666665,2,2,0,2,0,8.297741500427946,20000,2025-10-12 19:02:33.451510
