ts,cpu_percent,rss_mb,power_w,energy_j_total
1760293364.2699924,0.00,244.31,0.000,0.000000
1760293365.2697535,0.00,244.31,0.358,0.358029
1760293366.26977,0.00,244.31,0.455,0.813389
1760293367.2700078,1.00,244.31,0.335,1.148607
1760293368.270225,0.00,244.31,0.083,1.231825
1760293369.2697494,1.00,244.31,0.119,1.351112
1760293370.2697556,0.00,244.31,0.258,1.609018
1760293371.2697923,0.00,244.31,0.176,1.784881
1760293372.2699723,0.00,244.31,0.043,1.827695
1760293373.2697403,0.00,244.31,0.094,1.921425
1760293374.270005,0.00,244.31,0.049,1.970266
1760293375.2700732,0.00,244.31,0.050,2.019900
1760293376.27015,1.00,244.31,0.047,2.066574
1760293377.2697778,0.00,244.31,0.154,2.220818
1760293378.2697248,0.00,244.31,0.108,2.328631
1760293379.269752,0.00,244.31,0.071,2.399596
1760293380.2697682,0.00,244.31,0.129,2.528388
1760293381.2697632,1.00,244.31,0.127,2.655106
1760293382.2699795,81.00,286.69,0.317,2.972259
1760293383.2700293,3.00,286.82,0.102,3.074167
1760293384.269721,0.00,286.82,0.107,3.181385
1760293385.269772,0.00,286.82,0.041,3.222276
1760293386.2699835,3.00,286.94,0.048,3.269988
1760293387.2697718,1.00,269.58,0.063,3.332638
1760293388.269772,0.00,269.58,0.037,3.369302
1760293389.269778,1.00,269.83,0.090,3.459081
1760293390.2697337,3.00,269.95,0.051,3.510424
1760293391.2697933,0.00,269.95,0.046,3.556411
1760293392.2699869,2.00,270.08,0.058,3.614773
1760293393.2697976,3.00,270.20,0.028,3.642268
1760293394.269771,2.00,270.33,0.057,3.698799
1760293395.2699847,1.00,270.45,0.068,3.767277
1760293396.2699134,0.00,270.45,0.033,3.800036
1760293397.2700043,0.00,270.45,0.063,3.863357
1760293398.2700143,0.00,270.45,0.059,3.922146
1760293399.270257,1.00,270.45,0.027,3.949274
1760293400.2702453,1.00,270.45,0.057,4.006568
1760293401.2700226,0.00,270.45,0.033,4.039800
1760293402.2699769,0.00,270.45,0.037,4.077228
1760293403.2700207,2.00,270.45,0.037,4.114717
1760293404.269987,1.00,270.58,0.047,4.161940
1760293405.2697673,0.00,270.58,0.034,4.196103
1760293406.2701173,3.00,270.58,0.053,4.249201
1760293407.2700331,1.00,270.58,0.048,4.297126
1760293408.270026,2.00,270.70,0.060,4.357304
1760293409.2700186,2.00,270.70,0.078,4.435059
1760293410.269982,2.00,270.83,0.034,4.469145
1760293411.269985,2.00,270.83,0.053,4.521861
1760293412.2699835,1.00,270.95,0.053,4.575249
1760293413.2699995,0.00,270.95,0.037,4.612677
1760293414.2697759,2.00,271.08,0.037,4.649739
1760293415.2699862,3.00,271.20,0.036,4.686068
1760293416.2697968,1.00,271.20,0.060,4.746459
1760293417.270017,2.00,271.33,0.036,4.782422
1760293418.269947,1.00,271.45,0.055,4.837488
1760293419.2697585,1.00,271.45,0.047,4.884666
1760293420.2700696,2.00,271.45,0.054,4.938344
1760293421.2699835,1.00,271.45,0.043,4.981509
1760293422.2700322,1.00,271.45,0.042,5.023849
1760293423.2697725,1.00,271.58,0.067,5.090908
1760293424.2697628,1.00,271.70,0.075,5.165428
1760293425.2700071,2.00,271.83,0.067,5.232823
1760293426.2699847,2.00,271.83,0.045,5.278033
1760293427.2697642,3.00,271.83,0.064,5.341536
1760293428.2697716,1.00,271.95,0.056,5.397945
1760293429.2699778,2.00,272.08,0.041,5.438745
1760293430.2699902,3.00,272.20,0.058,5.496313
1760293431.2699702,1.00,272.33,0.053,5.549640
1760293432.2699816,1.00,272.33,0.053,5.602418
1760293433.2700233,1.00,272.45,0.052,5.654585
1760293434.2700605,1.00,272.58,0.046,5.700328
1760293435.2699728,2.00,272.58,0.076,5.776313
1760293436.2699819,1.00,272.70,0.059,5.835407
1760293437.269983,4.00,272.83,0.070,5.905518
