sim_second,sim_minute,phase,phase_progress,target_rps,sent_total,sent_cpu,sent_file,succ,err,avg_latency_ms,bytes,wall_time
0,0.0,Night,0.0,0.0,0,0,0,0,0,0.0,0,2025-10-12 20:22:43.749283
1,0.016666666666666666,Night,0.002777777777777778,0.016666666666666666,0,0,0,0,0,0.0,0,2025-10-12 20:22:44.749283
2,0.03333333333333333,Night,0.005555555555555556,0.03333333333333333,0,0,0,0,0,0.0,0,2025-10-12 20:22:45.749283
3,0.05,Night,0.008333333333333333,0.05,0,0,0,0,0,0.0,0,2025-10-12 20:22:46.749283
4,0.06666666666666667,Night,0.011111111111111112,0.06666666666666667,0,0,0,0,0,0.0,0,2025-10-12 20:22:47.749283
5,0.08333333333333333,Night,0.013888888888888888,0.08333333333333333,0,0,0,0,0,0.0,0,2025-10-12 20:22:48.749283
6,0.1,Night,0.016666666666666666,0.1,0,0,0,0,0,0.0,0,2025-10-12 20:22:49.749283
7,0.11666666666666667,Night,0.019444444444444445,0.11666666666666667,0,0,0,0,0,0.0,0,2025-10-12 20:22:50.749283
8,0.13333333333333333,Night,0.022222222222222223,0.13333333333333333,0,0,0,0,0,0.0,0,2025-10-12 20:22:51.749283
9,0.15,Night,0.024999999999999998,0.15,0,0,0,0,0,0.0,0,2025-10-12 20:22:52.749283
10,0.16666666666666666,Night,0.027777777777777776,0.16666666666666666,0,0,0,0,0,0.0,0,2025-10-12 20:22:53.749283
11,0.18333333333333332,Night,0.030555555555555555,0.18333333333333332,0,0,0,0,0,0.0,0,2025-10-12 20:22:54.749283
12,0.2,Night,0.03333333333333333,0.2,0,0,0,0,0,0.0,0,2025-10-12 20:22:55.749283
13,0.21666666666666667,Night,0.036111111111111115,0.21666666666666667,0,0,0,0,0,0.0,0,2025-10-12 20:22:56.749283
14,0.23333333333333334,Night,0.03888888888888889,0.23333333333333334,0,0,0,0,0,0.0,0,2025-10-12 20:22:57.749283
15,0.25,Night,0.041666666666666664,0.25,0,0,0,0,0,0.0,0,2025-10-12 20:22:58.749283
16,0.26666666666666666,Night,0.044444444444444446,0.26666666666666666,0,0,0,0,0,0.0,0,2025-10-12 20:22:59.749283
17,0.2833333333333333,Night,0.04722222222222222,0.2833333333333333,0,0,0,0,0,0.0,0,2025-10-12 20:23:00.749283
18,0.3,Night,0.049999999999999996,0.3,1,1,0,1,0,177.11320799935493,10000,2025-10-12 20:23:01.749283
19,0.31666666666666665,Night,0.05277777777777778,0.31666666666666665,1,1,0,1,0,16.17942499979108,10000,2025-10-12 20:23:02.749283
20,0.3333333333333333,Night,0.05555555555555555,0.3333333333333333,0,0,0,0,0,0.0,0,2025-10-12 20:23:03.749283
21,0.35,Night,0.05833333333333333,0.35,0,0,0,0,0,0.0,0,2025-10-12 20:23:04.749283
22,0.36666666666666664,Night,0.06111111111111111,0.36666666666666664,1,1,0,1,0,11.138825000671204,10000,2025-10-12 20:23:05.749283
23,0.38333333333333336,Night,0.0638888888888889,0.3833333333333334,0,0,0,0,0,0.0,0,2025-10-12 20:23:06.749283
24,0.4,Night,0.06666666666666667,0.4,0,0,0,0,0,0.0,0,2025-10-12 20:23:07.749283
