ts                , cpu_percent, rss_mb, power_w, energy_j_total
1760286371.9328904,        1.00, 139.38,   0.000,       0.000000
1760286372.932907 ,        0.00, 139.38,   0.094,       0.094218
1760286373.9331589,        0.00, 139.38,   0.085,       0.179052
1760286374.9329915,        1.00, 139.38,   0.048,       0.226901
1760286375.932893 ,        0.00, 139.38,   0.055,       0.282135
1760286376.9331062,        0.00, 139.38,   0.039,       0.320799
1760286377.933258 ,        1.00, 139.38,   0.064,       0.384700
1760286378.9329107,        0.00, 139.38,   0.055,       0.439415
1760286379.93291  ,        0.00, 139.38,   0.049,       0.488286
1760286380.93289  ,        0.00, 139.38,   0.061,       0.549211
1760286381.9328578,        0.00, 139.38,   0.558,       1.107380
1760286382.9328654,        1.00, 139.38,   0.670,       1.777221
1760286383.9329083,        0.00, 139.38,   0.347,       2.124691
1760286384.9328744,        1.00, 139.38,   0.596,       2.720196
1760286385.9328637,        0.00, 139.38,   0.896,       3.616466
1760286386.9328594,        0.00, 139.38,   0.930,       4.546395
1760286387.932873 ,       93.00, 142.25,   0.653,       5.199636
1760286388.9328747,       46.00, 143.00,   0.092,       5.291505
1760286389.9329274,       21.00, 143.00,   0.119,       5.410334
1760286390.932918 ,        1.00, 143.00,   0.098,       5.508260
1760286391.9331672,        0.00, 143.00,   0.058,       5.566149
1760286392.9331703,       20.00, 143.00,   0.052,       5.617934
1760286393.9329407,        1.00, 143.00,   0.052,       5.669750
1760286394.9336839,        0.00, 143.00,   0.052,       5.722131
1760286395.9328885,       13.00, 143.13,   0.065,       5.787390
1760286396.9331305,       11.00, 143.13,   0.044,       5.831562
1760286397.933133 ,       20.00, 143.13,   0.112,       5.943509
1760286398.9328725,        0.00, 143.13,   0.079,       6.022775
1760286399.9328575,       24.00, 143.13,   1.072,       7.094268
1760286400.9328651,       23.00, 143.13,   2.367,       9.460906
1760286401.9328887,       21.00, 143.13,   0.409,       9.870308
1760286402.932871 ,        1.00, 143.13,   0.170,      10.040496
1760286403.9329035,       23.00, 143.13,   0.237,      10.278002
1760286404.9329207,        0.00, 143.13,   0.453,      10.731104
1760286405.9333122,        0.00, 143.13,   0.187,      10.917862
1760286406.9329007,        0.00, 143.13,   0.155,      11.072532
1760286407.9328914,        0.00, 143.13,   0.107,      11.179140
1760286408.9328773,        0.00, 143.13,   0.105,      11.284511
1760286409.9329069,        1.00, 143.13,   0.136,      11.420887
1760286410.9328897,        0.00, 143.13,   0.175,      11.596080
1760286411.9329128,       26.00, 143.13,   0.175,      11.770601
1760286412.9328697,       22.00, 143.13,   0.289,      12.059648
1760286413.9331985,        0.00, 143.13,   0.144,      12.203287
1760286414.933204 ,       25.00, 143.13,   0.186,      12.389389
1760286415.9332507,        5.00, 143.13,   0.115,      12.504755
1760286416.9328918,       17.00, 143.13,   0.158,      12.662950
1760286417.93292  ,       22.00, 143.13,   0.616,      13.279205
1760286418.9328952,       25.00, 143.13,   0.192,      13.471379
1760286419.932896 ,       27.00, 143.13,   0.175,      13.646679
1760286420.9328604,        9.00, 143.13,   0.200,      13.846726
1760286421.9328883,       12.00, 143.13,   0.172,      14.018455
1760286422.9328904,       24.00, 143.13,   0.188,      14.206922
1760286423.932866 ,        1.00, 143.13,   0.583,      14.789503
1760286424.9329114,       24.00, 143.13,   0.271,      15.060744
1760286425.9328663,       25.00, 143.13,   0.192,      15.252278
1760286426.9328663,       15.00, 143.13,   0.232,      15.483879
1760286427.9328918,        5.00, 143.13,   0.133,      15.616517
1760286428.9329212,       21.00, 143.13,   0.199,      15.815024
1760286429.9329283,       25.00, 143.13,   0.211,      16.026210
1760286430.9332159,       26.00, 143.13,   0.195,      16.220917
1760286431.932901 ,       22.00, 143.13,   0.278,      16.498475
1760286432.932863 ,        1.00, 143.13,   0.416,      16.913996
1760286433.9328933,       21.00, 143.13,   0.218,      17.131865
1760286434.9328718,       26.00, 143.13,   0.238,      17.369570
1760286435.9328666,       20.00, 143.13,   0.275,      17.644381
1760286436.9328883,       23.00, 143.13,   0.589,      18.233157
1760286437.9328613,       11.00, 143.13,   0.618,      18.851640
1760286438.932894 ,       10.00, 143.13,   0.169,      19.020699
1760286439.9328601,       21.00, 143.13,   0.164,      19.184585
1760286440.9328828,       22.00, 143.13,   0.249,      19.434038
1760286441.9328887,       46.00, 143.13,   0.667,      20.101072
1760286442.9328868,       22.00, 143.13,   0.202,      20.303118
1760286443.9328883,        4.00, 143.13,   0.144,      20.447184
1760286444.9329164,       20.00, 143.13,   0.187,      20.634293
1760286445.9328887,       26.00, 143.13,   0.201,      20.835317
1760286446.9328878,       25.00, 143.13,   0.270,      21.105720
1760286447.932898 ,       22.00, 143.13,   0.207,      21.312359
1760286448.9328759,        7.00, 143.25,   0.137,      21.449132
1760286449.9329195,       46.00, 143.25,   0.188,      21.637171
1760286450.9328694,       23.00, 143.25,   0.207,      21.843963
1760286451.93288  ,       46.00, 143.25,   0.256,      22.100312
1760286452.9328663,       22.00, 143.38,   0.345,      22.445632
1760286453.9328625,        8.00, 143.38,   0.187,      22.632267
1760286454.932887 ,       14.00, 143.38,   0.189,      22.821650
1760286455.9328923,       21.00, 143.38,   0.289,      23.110163
1760286456.9331448,       24.00, 143.38,   0.218,      23.328566
1760286457.933166 ,       21.00, 143.38,   0.181,      23.509190
1760286458.9328854,       40.00, 143.38,   0.383,      23.891663
1760286459.932903 ,        3.00, 143.38,   0.270,      24.161394
1760286460.9329212,       24.00, 143.38,   0.245,      24.405903
1760286461.9328737,       47.00, 143.38,   0.202,      24.608194
1760286462.932892 ,       21.00, 143.38,   0.152,      24.760087
1760286463.9331214,       42.00, 143.38,   0.381,      25.140713
1760286464.9328787,        6.00, 143.38,   0.193,      25.333559
1760286465.93292  ,       15.00, 143.38,   0.154,      25.487344
1760286466.932866 ,       23.00, 143.38,   0.181,      25.668640
1760286467.9328678,       25.00, 143.38,   0.186,      25.854513
1760286468.9329226,       26.00, 143.38,   0.235,      26.089730
1760286469.932873 ,       11.00, 143.38,   0.649,      26.738729
1760286470.932939 ,       10.00, 143.38,   0.232,      26.970361
1760286471.93291  ,       46.00, 143.38,   0.525,      27.495419
1760286472.9328644,       52.00, 143.38,   0.226,      27.721695
1760286473.9328895,       21.00, 143.38,   0.307,      28.028488
1760286474.9331367,       16.00, 143.38,   0.207,      28.235829
1760286475.932846 ,       10.00, 143.38,   0.163,      28.398601
1760286476.9328833,       26.00, 143.38,   0.163,      28.561145
1760286477.9328923,       23.00, 143.38,   0.242,      28.803579
1760286478.9329026,       43.00, 143.50,   0.283,      29.086630
1760286479.932867 ,       39.00, 143.50,   0.205,      29.291515
1760286480.932892 ,       13.00, 143.50,   0.262,      29.554013
1760286481.9329   ,       52.00, 143.50,   0.278,      29.832167
1760286482.932898 ,       47.00, 143.50,   0.227,      30.059267
1760286483.9328957,       24.00, 143.50,   0.216,      30.275671
1760286484.9328647,       32.00, 143.50,   0.637,      30.912494
1760286485.9331667,       15.00, 143.50,   0.172,      31.084437
1760286486.932904 ,       43.00, 143.50,   0.428,      31.512698
1760286487.9328623,       44.00, 143.50,   0.779,      32.291390
1760286488.9328694,       25.00, 143.50,   0.252,      32.543712
1760286489.9328673,       41.00, 143.50,   0.354,      32.897728
1760286490.9329011,        8.00, 143.50,   0.110,      33.007265
1760286491.9329157,       27.00, 143.50,   0.164,      33.171639
1760286492.9331565,       47.00, 143.50,   0.534,      33.705379
1760286493.9328818,       21.00, 143.50,   0.190,      33.895311
1760286494.9328816,       40.00, 143.50,   0.392,      34.287579
1760286495.9329197,        6.00, 143.50,   0.264,      34.551146
1760286496.932857 ,       49.00, 143.50,   0.812,      35.363588
1760286497.9328985,       45.00, 143.50,   0.530,      35.893819
1760286498.9328792,       48.00, 143.50,   0.930,      36.824176
1760286499.9328632,       39.00, 143.50,   0.241,      37.065511
1760286500.9328876,        9.00, 143.50,   0.228,      37.293588
1760286501.9328902,       46.00, 143.50,   1.131,      38.424252
1760286502.9329014,       48.00, 143.50,   0.495,      38.919282
1760286503.9329019,       50.00, 143.50,   0.320,      39.238785
1760286504.9328787,       29.00, 143.50,   0.424,      39.662759
1760286505.9328563,       18.00, 143.50,   0.309,      39.971535
1760286506.932891 ,       46.00, 143.50,   0.345,      40.316228
1760286507.932871 ,       47.00, 143.50,   0.990,      41.305923
1760286508.9328597,       44.00, 143.50,   1.447,      42.753190
1760286509.932857 ,       33.00, 143.50,   0.333,      43.086028
1760286510.9329052,       15.00, 143.50,   0.856,      43.942216
1760286511.9329197,       43.00, 143.50,   0.328,      44.270568
1760286512.9328985,       43.00, 143.50,   0.535,      44.805925
1760286513.9328952,       43.00, 143.50,   0.477,      45.283241
1760286514.93287  ,       43.00, 143.50,   1.064,      46.346999
1760286515.9328752,        2.00, 143.50,   0.212,      46.559115
1760286516.93291  ,       46.00, 143.50,   0.592,      47.151049
1760286517.9328942,       46.00, 143.50,   0.309,      47.460024
1760286518.9328609,       47.00, 143.50,   1.355,      48.814782
1760286519.9328656,       69.00, 143.50,   1.591,      50.405856
1760286520.932867 ,        1.00, 143.50,   0.284,      50.690158
1760286521.9328742,       44.00, 143.50,   0.441,      51.131084
1760286522.9328694,       47.00, 143.50,   0.318,      51.449259
1760286523.9328613,       48.00, 143.50,   0.535,      51.984357
1760286524.932876 ,       45.00, 143.50,   1.659,      53.643512
1760286525.9328973,        1.00, 143.50,   0.130,      53.773311
1760286526.9328902,       44.00, 143.50,   0.293,      54.066097
1760286527.932912 ,       48.00, 143.50,   0.351,      54.417184
1760286528.9328668,       49.00, 143.50,   0.346,      54.763372
1760286529.9328635,       47.00, 143.50,   0.209,      54.972483
1760286530.9328673,        3.00, 143.50,   0.187,      55.159913
1760286531.932888 ,       49.00, 143.50,   0.244,      55.404086
1760286532.9329097,       43.00, 143.50,   0.553,      55.956609
1760286533.9328957,       47.00, 143.50,   0.229,      56.185311
1760286534.9328628,       45.00, 143.50,   0.303,      56.488350
1760286535.932863 ,        2.00, 143.50,   0.175,      56.663695
1760286536.932887 ,       70.00, 143.50,   1.345,      58.008612
1760286537.9328654,       52.00, 143.50,   0.219,      58.228007
1760286538.9328904,       45.00, 143.50,   0.243,      58.471097
1760286539.9328609,       64.00, 143.50,   1.262,      59.733315
1760286540.9328954,        7.00, 143.50,   0.132,      59.865449
1760286541.9328678,       47.00, 143.50,   0.447,      60.312158
1760286542.9328654,       46.00, 143.50,   0.616,      60.928367
1760286543.9328957,       69.00, 143.50,   1.394,      62.322109
1760286544.9328597,       47.00, 143.50,   0.968,      63.290291
1760286545.9328642,       31.00, 143.50,   0.656,      63.946415
1760286546.9328885,       70.00, 143.50,   1.269,      65.215835
1760286547.9328673,       42.00, 143.50,   1.180,      66.395599
1760286548.9328644,       71.00, 143.50,   1.811,      68.206876
1760286549.932864 ,       27.00, 143.50,   0.290,      68.496824
1760286550.932894 ,       16.00, 143.50,   0.184,      68.680637
1760286551.9328647,       50.00, 143.50,   0.200,      68.880333
1760286552.9328804,       44.00, 143.50,   0.318,      69.198631
1760286553.932903 ,       46.00, 143.50,   0.381,      69.579226
1760286554.9328666,       51.00, 143.50,   1.057,      70.636178
1760286555.9328656,       20.00, 143.50,   0.575,      71.211527
1760286556.9328642,       66.00, 143.50,   1.149,      72.360546
1760286557.9329023,       45.00, 143.50,   0.537,      72.897307
1760286558.932863 ,       52.00, 143.50,   0.247,      73.143983
1760286559.9328654,       57.00, 143.50,   1.104,      74.247945
1760286560.9328606,       16.00, 143.50,   0.449,      74.696683
1760286561.9328644,       50.00, 143.50,   0.475,      75.171405
1760286562.9328659,       63.00, 143.50,   1.314,      76.485394
1760286563.9328926,       47.00, 143.50,   0.373,      76.858131
1760286564.9328642,       57.00, 143.50,   1.225,      78.083578
1760286565.9328635,       19.00, 143.50,   0.525,      78.608865
1760286566.932887 ,       72.00, 143.50,   1.392,      80.000410
1760286567.9328578,       46.00, 143.50,   1.210,      81.210613
1760286568.9328828,       70.00, 143.50,   1.460,      82.670163
