ts,cpu_percent,rss_mb,power_w,energy_j_total
1760706896.5166702,0.00,147.07,0.000,0.000000
1760706897.5166087,0.00,147.07,0.069,0.068753
1760706898.5166218,0.00,147.07,0.062,0.130334
1760706899.5166314,0.00,147.07,0.073,0.203008
1760706900.5166218,1.00,147.07,0.033,0.235676
1760706901.5167122,0.00,147.07,0.059,0.294800
1760706902.516631,0.00,147.07,0.070,0.365048
1760706903.51664,0.00,147.07,0.085,0.449959
1760706904.516595,0.00,147.07,0.066,0.516270
1760706905.5166764,0.00,147.07,0.064,0.580705
1760706906.5166492,1.00,147.07,0.049,0.629301
1760706907.5166504,0.00,147.07,0.050,0.679622
1760706908.516858,0.00,147.07,0.050,0.729363
1760706909.5166001,0.00,147.07,0.044,0.773398
1760706910.5166342,0.00,147.07,0.043,0.816273
1760706911.516601,0.00,147.07,0.035,0.851519
1760706912.516632,0.00,147.07,0.064,0.915892
1760706913.5166605,1.00,147.07,0.091,1.007013
1760706914.5165918,28.00,149.19,0.083,1.089788
1760706915.5166042,101.00,151.82,0.175,1.264538
1760706916.5166,9.00,152.07,0.145,1.409901
1760706917.516643,25.00,152.07,0.132,1.542401
1760706918.5166495,0.00,152.07,0.075,1.617013
1760706919.5166626,1.00,152.07,0.037,1.654242
1760706920.5166452,24.00,152.07,0.050,1.704700
1760706921.517336,1.00,152.07,0.061,1.765702
1760706922.516643,0.00,152.07,0.053,1.819120
1760706923.5167031,26.00,152.07,0.042,1.861492
1760706924.5166085,15.00,152.07,0.059,1.920922
1760706925.5167685,10.00,152.07,0.046,1.966757
1760706926.5168467,0.00,152.07,0.047,2.014209
1760706927.5167782,19.00,152.07,0.070,2.083938
1760706928.516644,21.00,152.07,0.061,2.144604
1760706929.5169306,25.00,152.07,0.032,2.176264
1760706930.51666,24.00,152.07,0.045,2.221016
1760706931.5167046,1.00,152.07,0.059,2.279851
1760706932.516622,0.00,152.07,0.074,2.353623
1760706933.516649,1.00,152.07,0.048,2.401747
1760706934.516667,0.00,152.07,0.051,2.452556
1760706935.5166373,0.00,152.07,0.032,2.484186
1760706936.5167494,0.00,152.07,0.074,2.558614
1760706937.5166292,1.00,152.07,0.063,2.621950
1760706938.5168455,0.00,152.07,0.080,2.701536
1760706939.5166566,24.00,152.07,0.060,2.761729
1760706940.5169756,24.00,152.07,0.054,2.815605
1760706941.5166621,1.00,152.07,0.055,2.871037
1760706942.5166402,24.00,152.07,0.057,2.927828
1760706943.5166419,24.00,152.07,0.062,2.989378
1760706944.5166109,3.00,152.07,0.071,3.060847
1760706945.5166466,21.00,152.07,0.042,3.102959
1760706946.5166366,24.00,152.07,0.043,3.146276
1760706947.51688,24.00,152.07,0.072,3.218370
1760706948.516793,24.00,152.07,0.071,3.289824
1760706949.5166104,7.00,152.07,0.075,3.365259
1760706950.51663,18.00,152.07,0.051,3.415839
1760706951.5166345,1.00,152.07,0.078,3.493609
1760706952.5166411,25.00,152.07,0.041,3.534806
1760706953.516639,24.00,152.07,0.062,3.596830
1760706954.5166059,24.00,152.07,0.475,4.071766
1760706955.5165904,9.00,152.07,0.096,4.167845
1760706956.51663,16.00,152.07,0.092,4.260080
1760706957.5166209,24.00,152.07,0.063,4.323431
1760706958.5166628,24.00,152.07,0.039,4.362583
1760706959.5166357,23.00,152.07,0.040,4.402345
