sim_second,sim_minute,phase,phase_progress,target_rps,sent_total,sent_cpu,sent_file,succ,err,avg_latency_ms,bytes,wall_time
0,0.0,Night,0.0,0.0,0,0,0,0,0,0.0,0,2025-10-17 15:14:56.125207
1,0.016666666666666666,Night,0.002777777777777778,0.016666666666666666,0,0,0,0,0,0.0,0,2025-10-17 15:14:57.125207
2,0.03333333333333333,Night,0.005555555555555556,0.03333333333333333,0,0,0,0,0,0.0,0,2025-10-17 15:14:58.125207
3,0.05,Night,0.008333333333333333,0.05,0,0,0,0,0,0.0,0,2025-10-17 15:14:59.125207
4,0.06666666666666667,Night,0.011111111111111112,0.06666666666666667,0,0,0,0,0,0.0,0,2025-10-17 15:15:00.125207
5,0.08333333333333333,Night,0.013888888888888888,0.08333333333333333,0,0,0,0,0,0.0,0,2025-10-17 15:15:01.125207
6,0.1,Night,0.016666666666666666,0.1,0,0,0,0,0,0.0,0,2025-10-17 15:15:02.125207
7,0.11666666666666667,Night,0.019444444444444445,0.11666666666666667,0,0,0,0,0,0.0,0,2025-10-17 15:15:03.125207
8,0.13333333333333333,Night,0.022222222222222223,0.13333333333333333,0,0,0,0,0,0.0,0,2025-10-17 15:15:04.125207
9,0.15,Night,0.024999999999999998,0.15,0,0,0,0,0,0.0,0,2025-10-17 15:15:05.125207
10,0.16666666666666666,Night,0.027777777777777776,0.16666666666666666,0,0,0,0,0,0.0,0,2025-10-17 15:15:06.125207
11,0.18333333333333332,Night,0.030555555555555555,0.18333333333333332,0,0,0,0,0,0.0,0,2025-10-17 15:15:07.125207
12,0.2,Night,0.03333333333333333,0.2,0,0,0,0,0,0.0,0,2025-10-17 15:15:08.125207
13,0.21666666666666667,Night,0.036111111111111115,0.21666666666666667,0,0,0,0,0,0.0,0,2025-10-17 15:15:09.125207
14,0.23333333333333334,Night,0.03888888888888889,0.23333333333333334,0,0,0,0,0,0.0,0,2025-10-17 15:15:10.125207
15,0.25,Night,0.041666666666666664,0.25,0,0,0,0,0,0.0,0,2025-10-17 15:15:11.125207
16,0.26666666666666666,Night,0.044444444444444446,0.26666666666666666,0,0,0,0,0,0.0,0,2025-10-17 15:15:12.125207
