sim_second,sim_minute,phase,phase_progress,target_rps,sent_total,sent_cpu,sent_file,succ,err,avg_latency_ms,bytes,wall_time
0,0.0,Night,0.0,0.0,0,0,0,0,0,0.0,0,2025-10-12 20:55:50.002395
1,0.016666666666666666,Night,0.002777777777777778,0.016666666666666666,0,0,0,0,0,0.0,0,2025-10-12 20:55:51.002395
2,0.03333333333333333,Night,0.005555555555555556,0.03333333333333333,0,0,0,0,0,0.0,0,2025-10-12 20:55:52.002395
3,0.05,Night,0.008333333333333333,0.05,0,0,0,0,0,0.0,0,2025-10-12 20:55:53.002395
4,0.06666666666666667,Night,0.011111111111111112,0.06666666666666667,0,0,0,0,0,0.0,0,2025-10-12 20:55:54.002395
5,0.08333333333333333,Night,0.013888888888888888,0.08333333333333333,0,0,0,0,0,0.0,0,2025-10-12 20:55:55.002395
6,0.1,Night,0.016666666666666666,0.1,0,0,0,0,0,0.0,0,2025-10-12 20:55:56.002395
7,0.11666666666666667,Night,0.019444444444444445,0.11666666666666667,0,0,0,0,0,0.0,0,2025-10-12 20:55:57.002395
8,0.13333333333333333,Night,0.022222222222222223,0.13333333333333333,0,0,0,0,0,0.0,0,2025-10-12 20:55:58.002395
9,0.15,Night,0.024999999999999998,0.15,0,0,0,0,0,0.0,0,2025-10-12 20:55:59.002395
10,0.16666666666666666,Night,0.027777777777777776,0.16666666666666666,0,0,0,0,0,0.0,0,2025-10-12 20:56:00.002395
11,0.18333333333333332,Night,0.030555555555555555,0.18333333333333332,0,0,0,0,0,0.0,0,2025-10-12 20:56:01.002395
12,0.2,Night,0.03333333333333333,0.2,0,0,0,0,0,0.0,0,2025-10-12 20:56:02.002395
13,0.21666666666666667,Night,0.036111111111111115,0.21666666666666667,0,0,0,0,0,0.0,0,2025-10-12 20:56:03.002395
14,0.23333333333333334,Night,0.03888888888888889,0.23333333333333334,0,0,0,0,0,0.0,0,2025-10-12 20:56:04.002395
15,0.25,Night,0.041666666666666664,0.25,0,0,0,0,0,0.0,0,2025-10-12 20:56:05.002395
16,0.26666666666666666,Night,0.044444444444444446,0.26666666666666666,0,0,0,0,0,0.0,0,2025-10-12 20:56:06.002395
17,0.2833333333333333,Night,0.04722222222222222,0.2833333333333333,0,0,0,0,0,0.0,0,2025-10-12 20:56:07.002395
18,0.3,Night,0.049999999999999996,0.3,1,1,0,1,0,196.3041590024659,10000,2025-10-12 20:56:08.002395
19,0.31666666666666665,Night,0.05277777777777778,0.31666666666666665,1,1,0,1,0,17.679545002465602,10000,2025-10-12 20:56:09.002395
20,0.3333333333333333,Night,0.05555555555555555,0.3333333333333333,0,0,0,0,0,0.0,0,2025-10-12 20:56:10.002395
21,0.35,Night,0.05833333333333333,0.35,0,0,0,0,0,0.0,0,2025-10-12 20:56:11.002395
22,0.36666666666666664,Night,0.06111111111111111,0.36666666666666664,1,1,0,1,0,11.19489100165083,10000,2025-10-12 20:56:12.002395
23,0.38333333333333336,Night,0.0638888888888889,0.3833333333333334,0,0,0,0,0,0.0,0,2025-10-12 20:56:13.002395
24,0.4,Night,0.06666666666666667,0.4,0,0,0,0,0,0.0,0,2025-10-12 20:56:14.002395
25,0.4166666666666667,Night,0.06944444444444445,0.4166666666666667,1,1,0,1,0,11.730792000889778,10000,2025-10-12 20:56:15.002395
26,0.43333333333333335,Night,0.07222222222222223,0.43333333333333335,1,1,0,1,0,11.068477000662824,10000,2025-10-12 20:56:16.002395
27,0.45,Night,0.075,0.44999999999999996,0,0,0,0,0,0.0,0,2025-10-12 20:56:17.002395
28,0.4666666666666667,Night,0.07777777777777778,0.4666666666666667,1,1,0,1,0,10.788339001010172,10000,2025-10-12 20:56:18.002395
29,0.48333333333333334,Night,0.08055555555555556,0.4833333333333334,1,1,0,1,0,10.907349998888094,10000,2025-10-12 20:56:19.002395
30,0.5,Night,0.08333333333333333,0.5,1,1,0,1,0,11.095574998762459,10000,2025-10-12 20:56:20.002395
31,0.5166666666666667,Night,0.08611111111111112,0.5166666666666667,1,1,0,1,0,11.343655998643953,10000,2025-10-12 20:56:21.002395
32,0.5333333333333333,Night,0.08888888888888889,0.5333333333333333,0,0,0,0,0,0.0,0,2025-10-12 20:56:22.002395
33,0.55,Night,0.09166666666666667,0.55,0,0,0,0,0,0.0,0,2025-10-12 20:56:23.002395
34,0.5666666666666667,Night,0.09444444444444444,0.5666666666666667,0,0,0,0,0,0.0,0,2025-10-12 20:56:24.002395
35,0.5833333333333334,Night,0.09722222222222222,0.5833333333333334,0,0,0,0,0,0.0,0,2025-10-12 20:56:25.002395
36,0.6,Night,0.09999999999999999,0.6,0,0,0,0,0,0.0,0,2025-10-12 20:56:26.002395
37,0.6166666666666667,Night,0.10277777777777779,0.6166666666666667,0,0,0,0,0,0.0,0,2025-10-12 20:56:27.002395
38,0.6333333333333333,Night,0.10555555555555556,0.6333333333333333,0,0,0,0,0,0.0,0,2025-10-12 20:56:28.002395
39,0.65,Night,0.10833333333333334,0.65,1,1,0,1,0,12.247765000211075,10000,2025-10-12 20:56:29.002395
40,0.6666666666666666,Night,0.1111111111111111,0.6666666666666666,1,1,0,1,0,10.465667000971735,10000,2025-10-12 20:56:30.002395
41,0.6833333333333333,Night,0.11388888888888889,0.6833333333333333,0,0,0,0,0,0.0,0,2025-10-12 20:56:31.002395
42,0.7,Night,0.11666666666666665,0.7,1,1,0,1,0,10.312991998944199,10000,2025-10-12 20:56:32.002395
43,0.7166666666666667,Night,0.11944444444444445,0.7166666666666667,1,1,0,1,0,9.894147002341924,10000,2025-10-12 20:56:33.002395
44,0.7333333333333333,Night,0.12222222222222222,0.7333333333333333,1,1,0,1,0,10.985084998537786,10000,2025-10-12 20:56:34.002395
45,0.75,Night,0.125,0.75,1,1,0,1,0,10.310269000910921,10000,2025-10-12 20:56:35.002395
46,0.7666666666666667,Night,0.1277777777777778,0.7666666666666668,1,1,0,1,0,6.196063997776946,10000,2025-10-12 20:56:36.002395
47,0.7833333333333333,Night,0.13055555555555556,0.7833333333333334,1,1,0,1,0,10.696566001570318,10000,2025-10-12 20:56:37.002395
48,0.8,Night,0.13333333333333333,0.8,1,1,0,1,0,10.268153000652092,10000,2025-10-12 20:56:38.002395
49,0.8166666666666667,Night,0.1361111111111111,0.8166666666666667,0,0,0,0,0,0.0,0,2025-10-12 20:56:39.002395
50,0.8333333333333334,Night,0.1388888888888889,0.8333333333333334,1,1,0,1,0,10.896664000028977,10000,2025-10-12 20:56:40.002395
51,0.85,Night,0.14166666666666666,0.85,1,1,0,1,0,9.0809729990724,10000,2025-10-12 20:56:41.002395
52,0.8666666666666667,Night,0.14444444444444446,0.8666666666666667,1,1,0,1,0,10.77604699821677,10000,2025-10-12 20:56:42.002395
53,0.8833333333333333,Night,0.14722222222222223,0.8833333333333333,1,1,0,1,0,10.549687998718582,10000,2025-10-12 20:56:43.002395
54,0.9,Night,0.15,0.8999999999999999,1,1,0,1,0,7.77128999834531,10000,2025-10-12 20:56:44.002395
55,0.9166666666666666,Night,0.15277777777777776,0.9166666666666665,1,1,0,1,0,10.282960000040475,10000,2025-10-12 20:56:45.002395
56,0.9333333333333333,Night,0.15555555555555556,0.9333333333333333,1,1,0,1,0,9.588098000676837,10000,2025-10-12 20:56:46.002395
57,0.95,Night,0.15833333333333333,0.95,1,1,0,1,0,9.670860999904107,10000,2025-10-12 20:56:47.002395
58,0.9666666666666667,Night,0.16111111111111112,0.9666666666666668,1,1,0,1,0,10.371170999860624,10000,2025-10-12 20:56:48.002395
59,0.9833333333333333,Night,0.1638888888888889,0.9833333333333334,1,1,0,1,0,10.134615000424674,10000,2025-10-12 20:56:49.002395
60,1.0,Night,0.16666666666666666,1.0,1,1,0,1,0,10.335690996726044,10000,2025-10-12 20:56:50.002395
61,1.0166666666666666,Night,0.16944444444444443,1.0166666666666666,1,1,0,1,0,4.304802998376545,10000,2025-10-12 20:56:51.002395
62,1.0333333333333334,Night,0.17222222222222225,1.0333333333333334,1,1,0,1,0,10.190629000135232,10000,2025-10-12 20:56:52.002395
63,1.05,Night,0.17500000000000002,1.05,1,1,0,1,0,10.892125999816926,10000,2025-10-12 20:56:53.002395
64,1.0666666666666667,Night,0.17777777777777778,1.0666666666666667,2,2,0,2,0,10.796475999086397,20000,2025-10-12 20:56:54.002395
65,1.0833333333333333,Night,0.18055555555555555,1.0833333333333333,1,1,0,1,0,9.847982000792399,10000,2025-10-12 20:56:55.002395
66,1.1,Night,0.18333333333333335,1.1,1,1,0,1,0,10.382345997641096,10000,2025-10-12 20:56:56.002395
67,1.1166666666666667,Night,0.18611111111111112,1.1166666666666667,1,1,0,1,0,4.851041001529666,10000,2025-10-12 20:56:57.002395
68,1.1333333333333333,Night,0.18888888888888888,1.1333333333333333,1,1,0,1,0,10.399876999144908,10000,2025-10-12 20:56:58.002395
69,1.15,Night,0.19166666666666665,1.15,1,1,0,1,0,10.282610997819575,10000,2025-10-12 20:56:59.002395
70,1.1666666666666667,Night,0.19444444444444445,1.1666666666666667,2,2,0,2,0,10.779609501696541,20000,2025-10-12 20:57:00.002395
71,1.1833333333333333,Night,0.19722222222222222,1.1833333333333333,1,1,0,1,0,9.93018699955428,10000,2025-10-12 20:57:01.002395
72,1.2,Night,0.19999999999999998,1.2,2,2,0,2,0,10.767421998025384,20000,2025-10-12 20:57:02.002395
73,1.2166666666666666,Night,0.20277777777777775,1.2166666666666666,1,1,0,1,0,10.650401000020793,10000,2025-10-12 20:57:03.002395
74,1.2333333333333334,Night,0.20555555555555557,1.2333333333333334,1,1,0,1,0,11.561843999515986,10000,2025-10-12 20:57:04.002395
75,1.25,Night,0.20833333333333334,1.25,1,1,0,1,0,9.852381997916382,10000,2025-10-12 20:57:05.002395
76,1.2666666666666666,Night,0.2111111111111111,1.2666666666666666,1,1,0,1,0,10.116804998688167,10000,2025-10-12 20:57:06.002395
