ts,cpu_percent,rss_mb,power_w,energy_j_total
1760284566.3102171,0.00,227.13,0.000,0.000000
1760284567.3101907,1.00,227.13,0.162,0.162376
1760284568.3101861,0.00,227.13,0.044,0.205876
1760284569.3103943,0.00,227.13,0.046,0.252017
1760284570.31045,1.00,227.13,0.047,0.299439
1760284571.3104272,0.00,227.13,0.040,0.339155
1760284572.3102098,0.00,227.13,0.058,0.397303
1760284573.31021,0.00,227.13,0.071,0.467872
1760284574.3101463,0.00,227.13,0.089,0.556582
1760284575.3104055,0.00,227.13,0.087,0.643110
1760284576.3102126,0.00,227.13,0.071,0.714563
1760284577.3101578,1.00,227.13,0.087,0.801640
1760284578.3103607,0.00,227.13,0.063,0.864473
1760284579.3104248,0.00,227.13,0.088,0.952008
1760284580.3104,0.00,227.13,0.086,1.037621
1760284581.3101459,1.00,227.13,0.080,1.117801
1760284582.3101473,0.00,227.13,0.056,1.173463
1760284583.310156,0.00,227.13,0.096,1.269069
1760284584.310541,1.00,227.26,0.061,1.329811
1760284585.3102102,1.00,227.38,0.053,1.382879
1760284586.3104386,0.00,227.38,0.085,1.468369
1760284587.3101459,0.00,227.38,0.054,1.522321
1760284588.3103943,2.00,227.63,0.082,1.604013
1760284589.3104017,1.00,227.63,0.071,1.674871
1760284590.310148,0.00,227.63,0.065,1.739809
1760284591.3101466,1.00,227.63,0.101,1.841137
1760284592.3101926,1.00,227.76,0.627,2.468287
1760284593.310434,0.00,227.76,0.142,2.610553
1760284594.3101687,1.00,227.76,0.744,3.354304
1760284595.3102045,2.00,227.76,0.117,3.471760
1760284596.3101358,1.00,227.88,0.387,3.859176
1760284597.3101392,1.00,227.88,0.127,3.986626
1760284598.3102014,0.00,227.88,0.081,4.067951
1760284599.3102286,0.00,227.88,0.063,4.130478
1760284600.310438,0.00,227.88,0.061,4.191586
1760284601.310403,0.00,227.88,0.075,4.266091
1760284602.310136,0.00,227.88,0.931,5.196768
1760284603.3102198,1.00,227.88,0.511,5.707392
1760284604.31014,0.00,227.88,0.738,6.445773
1760284605.3101642,1.00,228.01,0.172,6.617639
1760284606.3102114,1.00,228.01,0.133,6.750994
1760284607.3102086,1.00,228.01,0.071,6.821745
1760284608.3104386,1.00,228.01,0.065,6.886287
1760284609.3102107,1.00,228.13,0.076,6.962043
1760284610.3102171,1.00,228.26,0.201,7.162731
1760284611.310218,1.00,228.51,0.219,7.381531
1760284612.3101654,1.00,228.51,1.226,8.607877
1760284613.3101363,1.00,228.51,0.479,9.086750
1760284614.3101394,1.00,228.63,1.088,10.174416
1760284615.3101397,0.00,228.63,1.752,11.926187
1760284616.3101463,1.00,228.76,2.455,14.380772
1760284617.3101828,0.00,228.76,1.185,15.566197
1760284618.310317,1.00,228.76,0.469,16.035426
1760284619.3101907,1.00,228.88,0.079,16.114142
1760284620.3101435,1.00,229.01,0.066,16.179828
1760284621.3102062,1.00,229.01,0.040,16.219437
1760284622.3101466,2.00,229.01,0.047,16.266707
1760284623.3101552,1.00,229.13,1.523,17.789943
1760284624.3101525,1.00,229.26,0.897,18.686992
1760284625.3101325,0.00,229.38,0.809,19.496474
1760284626.310136,1.00,229.51,0.294,19.790237
1760284627.3104172,1.00,229.51,0.146,19.936179
1760284628.310445,2.00,229.63,0.082,20.018084
1760284629.3101432,1.00,229.76,1.090,21.108162
1760284630.310132,2.00,230.26,2.252,23.359983
1760284631.3101392,1.00,230.38,2.051,25.411360
1760284632.3101897,1.00,230.38,1.997,27.408327
1760284633.310134,1.00,230.51,1.884,29.291988
1760284634.3101373,1.00,230.51,1.197,30.489177
1760284635.3101335,0.00,230.51,2.142,32.631400
1760284636.310136,1.00,230.51,1.055,33.686246
1760284637.3101296,1.00,230.63,0.749,34.434789
1760284638.3101304,1.00,230.76,0.493,34.928034
1760284639.3102076,1.00,230.76,1.309,36.237476
1760284640.310133,0.00,230.88,1.525,37.762787
1760284641.310136,1.00,230.88,2.385,40.147857
1760284642.3101392,1.00,231.01,1.842,41.989726
1760284643.310147,1.00,231.01,1.302,43.291341
1760284644.3101385,2.00,231.26,1.189,44.480213
1760284645.3102007,1.00,231.38,0.775,45.255106
1760284646.3101463,1.00,231.51,0.355,45.610038
1760284647.3101509,1.00,231.63,0.378,45.988375
1760284648.3101993,1.00,231.76,0.200,46.187965
1760284649.3101666,1.00,231.88,0.144,46.331726
1760284650.3101878,3.00,232.01,0.156,46.487373
1760284651.3101523,0.00,232.01,0.421,46.908219
1760284652.3101377,1.00,232.01,1.013,47.920831
1760284653.3101401,1.00,232.26,0.498,48.418944
1760284654.3101368,1.00,232.51,0.298,48.717268
1760284655.3101406,1.00,232.76,0.430,49.146934
1760284656.3101642,1.00,232.76,0.481,49.628217
1760284657.3101454,0.00,232.76,0.162,49.790150
1760284658.3101418,1.00,232.88,0.260,50.049780
1760284659.3101428,1.00,232.88,0.169,50.218610
1760284660.3101428,3.00,233.01,0.195,50.413439
1760284661.3101387,1.00,233.51,0.165,50.578775
1760284662.3101907,2.00,233.51,0.244,50.822720
1760284663.310147,1.00,233.63,0.192,51.014345
1760284664.3101685,1.00,233.76,0.519,51.533010
1760284665.3101428,1.00,233.76,0.203,51.735682
1760284666.3101428,2.00,233.76,0.166,51.901781
1760284667.3101404,1.00,233.88,0.170,52.071511
1760284668.310144,2.00,234.01,0.196,52.267393
1760284669.3101408,4.00,234.01,0.198,52.465411
1760284670.3101652,2.00,234.13,0.201,52.666222
1760284671.3102093,1.00,234.13,0.209,52.875577
1760284672.3101585,3.00,234.13,0.273,53.148558
1760284673.3102045,0.00,234.26,0.220,53.368365
1760284674.3101447,1.00,234.26,0.215,53.583060
1760284675.3101408,2.00,234.38,0.152,53.735426
1760284676.3103938,2.00,234.38,0.200,53.935108
1760284677.3102088,1.00,234.38,0.338,54.273362
1760284678.3103263,5.00,234.63,0.061,54.334227
1760284679.3102155,4.00,234.76,0.080,54.414468
1760284680.310199,2.00,234.88,0.122,54.536715
1760284681.3104618,2.00,234.88,0.096,54.633238
1760284682.3103993,3.00,234.88,0.096,54.729454
1760284683.3102138,3.00,234.88,0.097,54.826129
1760284684.3101432,1.00,234.88,0.564,55.389928
1760284685.3101444,1.00,235.01,0.913,56.302905
1760284686.3101356,1.00,235.01,0.500,56.803246
1760284687.3101323,1.00,235.01,0.843,57.646403
1760284688.3101354,1.00,235.01,0.678,58.324651
1760284689.3101418,1.00,235.01,0.863,59.188056
1760284690.310133,3.00,235.01,0.718,59.905655
1760284691.3101397,1.00,235.01,0.462,60.368033
1760284692.3101413,1.00,235.01,0.440,60.808013
1760284693.3101442,2.00,235.01,0.548,61.356370
1760284694.3101344,2.00,235.01,0.536,61.892826
1760284695.3101375,1.00,235.01,0.701,62.593443
1760284696.3101368,1.00,235.01,1.218,63.811474
1760284697.3101418,0.00,235.01,0.668,64.479088
1760284698.3101394,2.00,235.01,0.655,65.133961
1760284699.3101432,1.00,235.01,0.805,65.938790
1760284700.3101413,2.00,235.01,0.469,66.408263
1760284701.3101377,1.00,235.01,0.556,66.964128
1760284702.3101435,1.00,235.01,0.365,67.329389
1760284703.3101375,2.00,235.01,0.385,67.713967
1760284704.310203,1.00,235.13,0.610,68.324104
1760284705.3101454,1.00,235.26,0.691,69.014742
1760284706.3101375,1.00,235.26,0.609,69.623368
1760284707.3101342,2.00,235.26,0.637,70.259917
1760284708.3101437,1.00,235.26,0.478,70.737660
1760284709.310144,1.00,235.38,0.650,71.387391
1760284710.3101707,3.00,235.51,0.513,71.899969
1760284711.3101451,2.00,235.51,0.501,72.400614
1760284712.3101478,2.00,235.63,0.683,73.083684
1760284713.3101425,2.00,235.63,0.408,73.491576
1760284714.3101335,2.00,235.63,0.468,73.959509
1760284715.3101335,2.00,235.76,0.361,74.320528
1760284716.3101587,1.00,235.76,0.312,74.632661
1760284717.3101492,2.00,235.76,0.615,75.247696
1760284718.3101363,0.00,235.76,0.793,76.040913
1760284719.310141,1.00,235.76,0.701,76.741988
1760284720.3101463,2.00,235.76,0.849,77.591294
1760284721.3101373,0.00,235.76,1.182,78.773270
1760284722.310164,2.00,235.88,0.335,79.108412
1760284723.3101435,2.00,235.88,0.394,79.502771
1760284724.3101382,1.00,235.88,1.022,80.524751
1760284725.3101337,1.00,235.88,0.743,81.267694
1760284726.3101363,1.00,236.01,0.895,82.162713
1760284727.3101425,2.00,236.01,0.600,82.763130
1760284728.3101408,2.00,236.01,0.498,83.261060
1760284729.3101375,1.00,236.01,1.371,84.631915
1760284730.3101413,1.00,236.01,0.930,85.561844
1760284731.3101425,1.00,236.01,0.792,86.353994
1760284732.3101857,3.00,236.13,0.429,86.783385
1760284733.3101442,2.00,236.13,0.524,87.307299
1760284734.3101404,2.00,236.13,0.478,87.785164
1760284735.3101423,2.00,236.26,0.709,88.494508
1760284736.3101377,2.00,236.26,0.562,89.056750
1760284737.3101423,3.00,236.51,0.534,89.590979
1760284738.310143,2.00,236.63,0.369,89.960268
1760284739.3101413,2.00,236.63,0.363,90.323576
1760284740.3101566,2.00,236.88,0.473,90.796559
1760284741.3101447,1.00,236.88,0.803,91.599511
1760284742.310139,2.00,236.88,0.600,92.199563
1760284743.3101509,2.00,237.01,0.734,92.933671
1760284744.3101366,3.00,237.01,0.690,93.623210
1760284745.3101432,1.00,237.13,0.629,94.251779
1760284746.3101377,3.00,237.26,0.477,94.728515
1760284747.3101375,1.00,237.26,0.444,95.172340
1760284748.3101375,1.00,237.26,0.535,95.707728
1760284749.3101385,2.00,237.26,0.970,96.677282
1760284750.31014,1.00,237.26,0.596,97.273138
1760284751.3101401,1.00,237.26,0.650,97.923006
1760284752.3101423,2.00,237.26,0.392,98.314954
1760284753.3101368,1.00,237.26,0.653,98.967493
1760284754.310139,2.00,237.26,0.522,99.489240
1760284755.3101385,1.00,237.38,0.410,99.898749
1760284756.3101377,3.00,237.38,0.508,100.407115
1760284757.3101385,3.00,237.38,0.594,101.001521
1760284758.3101392,1.00,237.38,0.457,101.458712
1760284759.3101363,1.00,237.38,0.579,102.038089
1760284760.3101306,3.00,237.38,0.436,102.474239
1760284761.3101413,2.00,237.38,0.600,103.074214
1760284762.3101625,2.00,237.38,0.640,103.714318
1760284763.3101413,1.00,237.38,0.738,104.452240
1760284764.3101363,1.00,237.38,0.760,105.212501
1760284765.310134,2.00,237.38,2.329,107.541558
1760284766.3101459,1.00,237.51,2.451,109.992573
1760284767.3101327,2.00,237.63,1.547,111.539352
1760284768.310142,1.00,237.63,0.745,112.284049
1760284769.3101375,1.00,237.63,0.729,113.013306
1760284770.310137,2.00,237.63,0.902,113.915420
1760284771.3101604,2.00,237.63,0.540,114.455583
1760284772.3101423,3.00,238.13,0.646,115.101531
1760284773.3101325,1.00,238.13,0.732,115.833060
1760284774.3101413,2.00,238.26,0.658,116.491382
1760284775.31016,5.00,238.76,0.501,116.991905
1760284776.3101687,6.00,244.01,0.595,117.587273
1760284777.3101482,1.00,244.13,0.672,118.259159
1760284778.3101494,4.00,244.38,0.419,118.677792
1760284779.3101304,3.00,244.51,0.913,119.591197
1760284780.3101315,2.00,244.76,0.742,120.333255
1760284781.3101294,3.00,244.88,1.020,121.353450
1760284782.3101356,0.00,244.88,1.073,122.426042
1760284783.3101373,3.00,245.01,0.732,123.158533
1760284784.310148,3.00,245.38,1.046,124.204164
1760284785.3101366,2.00,245.51,0.775,124.978675
1760284786.3101337,2.00,245.51,0.701,125.679277
1760284787.310137,3.00,245.51,0.776,126.455405
1760284788.310146,2.00,245.51,0.485,126.940121
1760284789.3101645,2.00,245.51,0.579,127.519040
1760284790.3101428,3.00,245.51,0.379,127.897927
1760284791.3101468,1.00,245.51,0.398,128.295886
1760284792.3101513,2.00,245.51,0.405,128.701078
1760284793.3101432,1.00,245.51,0.353,129.054209
1760284794.3101423,2.00,245.51,0.428,129.481830
1760284795.3101392,0.00,245.51,0.437,129.918559
1760284796.3101332,2.00,245.51,0.472,130.390932
1760284797.3101335,1.00,245.51,0.506,130.896551
1760284798.3101304,1.00,245.51,0.448,131.344252
1760284799.3101375,3.00,245.51,0.448,131.792654
1760284800.3101382,2.00,245.63,0.324,132.116322
1760284801.3101325,1.00,245.63,0.544,132.660742
1760284802.310136,2.00,245.76,2.068,134.728552
1760284803.3101559,1.00,245.88,2.230,136.958448
1760284804.3101494,4.00,246.01,1.929,138.887685
1760284805.3101363,2.00,246.26,1.039,139.926968
1760284806.3101375,2.00,246.63,0.244,140.170501
1760284807.3101373,12.00,247.13,0.937,141.107312
1760284808.3101418,2.00,247.13,2.338,143.445585
1760284809.3101382,4.00,247.38,2.013,145.458268
1760284810.3101306,4.00,247.63,0.956,146.413983
1760284811.3101368,1.00,247.63,0.706,147.119666
1760284812.3107443,3.00,247.63,0.989,148.109025
1760284813.3101425,3.00,247.63,0.732,148.840112
1760284814.3101327,2.00,247.76,1.439,150.279063
1760284815.3101363,2.00,247.76,0.679,150.958288
1760284816.3102064,3.00,247.76,0.147,151.104903
1760284817.3101444,3.00,247.76,0.129,151.234229
1760284818.3101344,1.00,247.76,1.394,152.628353
1760284819.3101327,1.00,247.76,1.441,154.069303
1760284820.3101456,3.00,247.76,1.558,155.627511
1760284821.3102217,3.00,247.76,0.078,155.705998
1760284822.310141,3.00,247.76,0.244,155.950401
1760284823.3101375,2.00,247.76,0.959,156.909610
1760284824.3104928,1.00,247.76,0.518,157.427345
1760284825.3104038,4.00,247.76,0.282,157.709236
1760284826.3104055,1.00,247.76,0.308,158.016883
1760284827.3102155,2.00,247.76,0.514,158.531093
1760284828.3101394,2.00,247.76,0.597,159.128200
1760284829.3101358,5.00,247.76,1.996,161.124496
1760284830.310398,1.00,247.76,0.505,161.629764
1760284831.310146,2.00,247.76,0.707,162.336530
1760284832.3101301,2.00,247.76,0.932,163.268367
1760284833.3101625,2.00,247.76,0.918,164.186822
1760284834.310392,1.00,247.76,0.323,164.510154
1760284835.3102047,4.00,247.76,0.158,164.668136
1760284836.3101375,2.00,247.76,0.773,165.441060
