sim_second,sim_minute,phase,phase_progress,target_rps,sent_total,sent_cpu,sent_file,succ,err,avg_latency_ms,bytes,wall_time
0,0.0,Night,0.0,0.0,0,0,0,0,0,0.0,0,2025-10-12 17:56:05.776944
1,0.016666666666666666,Night,0.002777777777777778,0.016666666666666666,0,0,0,0,0,0.0,0,2025-10-12 17:56:06.776944
2,0.03333333333333333,Night,0.005555555555555556,0.03333333333333333,0,0,0,0,0,0.0,0,2025-10-12 17:56:07.776944
3,0.05,Night,0.008333333333333333,0.05,0,0,0,0,0,0.0,0,2025-10-12 17:56:08.776944
4,0.06666666666666667,Night,0.011111111111111112,0.06666666666666667,0,0,0,0,0,0.0,0,2025-10-12 17:56:09.776944
5,0.08333333333333333,Night,0.013888888888888888,0.08333333333333333,0,0,0,0,0,0.0,0,2025-10-12 17:56:10.776944
6,0.1,Night,0.016666666666666666,0.1,0,0,0,0,0,0.0,0,2025-10-12 17:56:11.776944
7,0.11666666666666667,Night,0.019444444444444445,0.11666666666666667,0,0,0,0,0,0.0,0,2025-10-12 17:56:12.776944
8,0.13333333333333333,Night,0.022222222222222223,0.13333333333333333,0,0,0,0,0,0.0,0,2025-10-12 17:56:13.776944
9,0.15,Night,0.024999999999999998,0.15,0,0,0,0,0,0.0,0,2025-10-12 17:56:14.776944
10,0.16666666666666666,Night,0.027777777777777776,0.16666666666666666,0,0,0,0,0,0.0,0,2025-10-12 17:56:15.776944
11,0.18333333333333332,Night,0.030555555555555555,0.18333333333333332,0,0,0,0,0,0.0,0,2025-10-12 17:56:16.776944
12,0.2,Night,0.03333333333333333,0.2,0,0,0,0,0,0.0,0,2025-10-12 17:56:17.776944
13,0.21666666666666667,Night,0.036111111111111115,0.21666666666666667,0,0,0,0,0,0.0,0,2025-10-12 17:56:18.776944
14,0.23333333333333334,Night,0.03888888888888889,0.23333333333333334,0,0,0,0,0,0.0,0,2025-10-12 17:56:19.776944
15,0.25,Night,0.041666666666666664,0.25,0,0,0,0,0,0.0,0,2025-10-12 17:56:20.776944
16,0.26666666666666666,Night,0.044444444444444446,0.26666666666666666,0,0,0,0,0,0.0,0,2025-10-12 17:56:21.776944
17,0.2833333333333333,Night,0.04722222222222222,0.2833333333333333,0,0,0,0,0,0.0,0,2025-10-12 17:56:22.776944
18,0.3,Night,0.049999999999999996,0.3,1,1,0,1,0,16.767289999734203,10000,2025-10-12 17:56:23.776944
19,0.31666666666666665,Night,0.05277777777777778,0.31666666666666665,1,1,0,1,0,7.012672999735514,10000,2025-10-12 17:56:24.776944
20,0.3333333333333333,Night,0.05555555555555555,0.3333333333333333,0,0,0,0,0,0.0,0,2025-10-12 17:56:25.776944
21,0.35,Night,0.05833333333333333,0.35,0,0,0,0,0,0.0,0,2025-10-12 17:56:26.776944
22,0.36666666666666664,Night,0.06111111111111111,0.36666666666666664,1,1,0,1,0,10.593773999971745,10000,2025-10-12 17:56:27.776944
23,0.38333333333333336,Night,0.0638888888888889,0.3833333333333334,0,0,0,0,0,0.0,0,2025-10-12 17:56:28.776944
24,0.4,Night,0.06666666666666667,0.4,0,0,0,0,0,0.0,0,2025-10-12 17:56:29.776944
25,0.4166666666666667,Night,0.06944444444444445,0.4166666666666667,1,1,0,1,0,10.4765789992598,10000,2025-10-12 17:56:30.776944
26,0.43333333333333335,Night,0.07222222222222223,0.43333333333333335,1,1,0,1,0,4.585507000228972,10000,2025-10-12 17:56:31.776944
27,0.45,Night,0.075,0.44999999999999996,0,0,0,0,0,0.0,0,2025-10-12 17:56:32.776944
28,0.4666666666666667,Night,0.07777777777777778,0.4666666666666667,1,1,0,1,0,5.702917000235175,10000,2025-10-12 17:56:33.776944
29,0.48333333333333334,Night,0.08055555555555556,0.4833333333333334,1,1,0,1,0,4.999462999876414,10000,2025-10-12 17:56:34.776944
30,0.5,Night,0.08333333333333333,0.5,1,1,0,1,0,8.012117000362196,10000,2025-10-12 17:56:35.776944
31,0.5166666666666667,Night,0.08611111111111112,0.5166666666666667,1,1,0,1,0,7.617089000632404,10000,2025-10-12 17:56:36.776944
32,0.5333333333333333,Night,0.08888888888888889,0.5333333333333333,0,0,0,0,0,0.0,0,2025-10-12 17:56:37.776944
33,0.55,Night,0.09166666666666667,0.55,0,0,0,0,0,0.0,0,2025-10-12 17:56:38.776944
34,0.5666666666666667,Night,0.09444444444444444,0.5666666666666667,0,0,0,0,0,0.0,0,2025-10-12 17:56:39.776944
35,0.5833333333333334,Night,0.09722222222222222,0.5833333333333334,0,0,0,0,0,0.0,0,2025-10-12 17:56:40.776944
36,0.6,Night,0.09999999999999999,0.6,0,0,0,0,0,0.0,0,2025-10-12 17:56:41.776944
37,0.6166666666666667,Night,0.10277777777777779,0.6166666666666667,0,0,0,0,0,0.0,0,2025-10-12 17:56:42.776944
38,0.6333333333333333,Night,0.10555555555555556,0.6333333333333333,0,0,0,0,0,0.0,0,2025-10-12 17:56:43.776944
39,0.65,Night,0.10833333333333334,0.65,1,1,0,1,0,7.89764599994669,10000,2025-10-12 17:56:44.776944
40,0.6666666666666666,Night,0.1111111111111111,0.6666666666666666,1,1,0,1,0,9.476225000071281,10000,2025-10-12 17:56:45.776944
41,0.6833333333333333,Night,0.11388888888888889,0.6833333333333333,0,0,0,0,0,0.0,0,2025-10-12 17:56:46.776944
42,0.7,Night,0.11666666666666665,0.7,1,1,0,1,0,10.02909799990448,10000,2025-10-12 17:56:47.776944
43,0.7166666666666667,Night,0.11944444444444445,0.7166666666666667,1,1,0,1,0,10.231571000076656,10000,2025-10-12 17:56:48.776944
44,0.7333333333333333,Night,0.12222222222222222,0.7333333333333333,1,1,0,1,0,9.527001000606106,10000,2025-10-12 17:56:49.776944
45,0.75,Night,0.125,0.75,1,1,0,1,0,8.086220999757643,10000,2025-10-12 17:56:50.776944
46,0.7666666666666667,Night,0.1277777777777778,0.7666666666666668,1,1,0,1,0,6.434445999730087,10000,2025-10-12 17:56:51.776944
47,0.7833333333333333,Night,0.13055555555555556,0.7833333333333334,1,1,0,1,0,6.563724000443472,10000,2025-10-12 17:56:52.776944
48,0.8,Night,0.13333333333333333,0.8,1,1,0,1,0,4.574681000121927,10000,2025-10-12 17:56:53.776944
49,0.8166666666666667,Night,0.1361111111111111,0.8166666666666667,0,0,0,0,0,0.0,0,2025-10-12 17:56:54.776944
50,0.8333333333333334,Night,0.1388888888888889,0.8333333333333334,1,1,0,1,0,5.904480999561201,10000,2025-10-12 17:56:55.776944
51,0.85,Night,0.14166666666666666,0.85,1,1,0,1,0,5.0163649993919535,10000,2025-10-12 17:56:56.776944
52,0.8666666666666667,Night,0.14444444444444446,0.8666666666666667,1,1,0,1,0,4.792380000253615,10000,2025-10-12 17:56:57.776944
53,0.8833333333333333,Night,0.14722222222222223,0.8833333333333333,1,1,0,1,0,5.633003000184544,10000,2025-10-12 17:56:58.776944
54,0.9,Night,0.15,0.8999999999999999,1,1,0,1,0,7.258097999510937,10000,2025-10-12 17:56:59.776944
55,0.9166666666666666,Night,0.15277777777777776,0.9166666666666665,1,1,0,1,0,9.939628999745764,10000,2025-10-12 17:57:00.776944
56,0.9333333333333333,Night,0.15555555555555556,0.9333333333333333,1,1,0,1,0,10.014640000008512,10000,2025-10-12 17:57:01.776944
57,0.95,Night,0.15833333333333333,0.95,1,1,0,1,0,6.220727999789233,10000,2025-10-12 17:57:02.776944
58,0.9666666666666667,Night,0.16111111111111112,0.9666666666666668,1,1,0,1,0,4.398607999974047,10000,2025-10-12 17:57:03.776944
59,0.9833333333333333,Night,0.1638888888888889,0.9833333333333334,1,1,0,1,0,5.133490999469359,10000,2025-10-12 17:57:04.776944
60,1.0,Night,0.16666666666666666,1.0,1,1,0,1,0,4.469707999305683,10000,2025-10-12 17:57:05.776944
61,1.0166666666666666,Night,0.16944444444444443,1.0166666666666666,1,1,0,1,0,7.922298999801569,10000,2025-10-12 17:57:06.776944
62,1.0333333333333334,Night,0.17222222222222225,1.0333333333333334,1,1,0,1,0,10.26656100020773,10000,2025-10-12 17:57:07.776944
63,1.05,Night,0.17500000000000002,1.05,1,1,0,1,0,6.397637999725703,10000,2025-10-12 17:57:08.776944
64,1.0666666666666667,Night,0.17777777777777778,1.0666666666666667,2,2,0,2,0,7.020912500138365,20000,2025-10-12 17:57:09.776944
65,1.0833333333333333,Night,0.18055555555555555,1.0833333333333333,1,1,0,1,0,6.048007000572397,10000,2025-10-12 17:57:10.776944
66,1.1,Night,0.18333333333333335,1.1,1,1,0,1,0,4.977601000064169,10000,2025-10-12 17:57:11.776944
67,1.1166666666666667,Night,0.18611111111111112,1.1166666666666667,1,1,0,1,0,7.271507000041311,10000,2025-10-12 17:57:12.776944
68,1.1333333333333333,Night,0.18888888888888888,1.1333333333333333,1,1,0,1,0,5.515877000107139,10000,2025-10-12 17:57:13.776944
69,1.15,Night,0.19166666666666665,1.15,1,1,0,1,0,5.5348050000247895,10000,2025-10-12 17:57:14.776944
70,1.1666666666666667,Night,0.19444444444444445,1.1666666666666667,2,2,0,2,0,5.3604429999722925,20000,2025-10-12 17:57:15.776944
71,1.1833333333333333,Night,0.19722222222222222,1.1833333333333333,1,1,0,1,0,4.907409999759693,10000,2025-10-12 17:57:16.776944
72,1.2,Night,0.19999999999999998,1.2,2,2,0,2,0,5.484203999458259,20000,2025-10-12 17:57:17.776944
73,1.2166666666666666,Night,0.20277777777777775,1.2166666666666666,1,1,0,1,0,6.978030000027502,10000,2025-10-12 17:57:18.776944
74,1.2333333333333334,Night,0.20555555555555557,1.2333333333333334,1,1,0,1,0,7.819700999789347,10000,2025-10-12 17:57:19.776944
75,1.25,Night,0.20833333333333334,1.25,1,1,0,1,0,4.533472999355581,10000,2025-10-12 17:57:20.776944
76,1.2666666666666666,Night,0.2111111111111111,1.2666666666666666,1,1,0,1,0,6.709066000439634,10000,2025-10-12 17:57:21.776944
77,1.2833333333333334,Night,0.2138888888888889,1.2833333333333334,1,1,0,1,0,7.248737999361765,10000,2025-10-12 17:57:22.776944
78,1.3,Night,0.21666666666666667,1.3,2,2,0,2,0,6.32905300017228,20000,2025-10-12 17:57:23.776944
79,1.3166666666666667,Night,0.21944444444444444,1.3166666666666667,1,1,0,1,0,7.426417000715446,10000,2025-10-12 17:57:24.776944
80,1.3333333333333333,Night,0.2222222222222222,1.3333333333333333,2,2,0,2,0,7.983934499861789,20000,2025-10-12 17:57:25.776944
81,1.35,Night,0.225,1.35,1,1,0,1,0,6.871239999782119,10000,2025-10-12 17:57:26.776944
82,1.3666666666666667,Night,0.22777777777777777,1.3666666666666667,2,2,0,2,0,6.692023999676167,20000,2025-10-12 17:57:27.776944
83,1.3833333333333333,Night,0.23055555555555554,1.3833333333333333,1,1,0,1,0,6.451836000451294,10000,2025-10-12 17:57:28.776944
84,1.4,Night,0.2333333333333333,1.4,1,1,0,1,0,7.744619999357383,10000,2025-10-12 17:57:29.776944
85,1.4166666666666667,Night,0.23611111111111113,1.4166666666666667,1,1,0,1,0,6.075176000194915,10000,2025-10-12 17:57:30.776944
86,1.4333333333333333,Night,0.2388888888888889,1.4333333333333333,1,1,0,1,0,7.366842000010365,10000,2025-10-12 17:57:31.776944
87,1.45,Night,0.24166666666666667,1.45,1,1,0,1,0,4.543251000541204,10000,2025-10-12 17:57:32.776944
88,1.4666666666666666,Night,0.24444444444444444,1.4666666666666666,2,2,0,2,0,6.509909499982314,20000,2025-10-12 17:57:33.776944
89,1.4833333333333334,Night,0.24722222222222223,1.4833333333333334,2,2,0,2,0,6.222403000265331,20000,2025-10-12 17:57:34.776944
90,1.5,Night,0.25,1.5,1,1,0,1,0,7.3667719998411485,10000,2025-10-12 17:57:35.776944
91,1.5166666666666666,Night,0.25277777777777777,1.5166666666666666,1,1,0,1,0,6.7020820006291615,10000,2025-10-12 17:57:36.776944
92,1.5333333333333334,Night,0.2555555555555556,1.5333333333333337,1,1,0,1,0,6.783656999687082,10000,2025-10-12 17:57:37.776944
93,1.55,Night,0.25833333333333336,1.5500000000000003,1,1,0,1,0,8.010580000700429,10000,2025-10-12 17:57:38.776944
94,1.5666666666666667,Night,0.2611111111111111,1.5666666666666669,2,2,0,2,0,8.010160500361962,20000,2025-10-12 17:57:39.776944
95,1.5833333333333333,Night,0.2638888888888889,1.5833333333333335,2,2,0,2,0,7.217203999971389,20000,2025-10-12 17:57:40.776944
96,1.6,Night,0.26666666666666666,1.6,2,2,0,2,0,7.684345000143367,20000,2025-10-12 17:57:41.776944
97,1.6166666666666667,Night,0.26944444444444443,1.6166666666666667,2,2,0,2,0,7.271645999935572,20000,2025-10-12 17:57:42.776944
98,1.6333333333333333,Night,0.2722222222222222,1.6333333333333333,1,1,0,1,0,6.043536999641219,10000,2025-10-12 17:57:43.776944
99,1.65,Night,0.27499999999999997,1.65,2,2,0,2,0,9.541805000480963,20000,2025-10-12 17:57:44.776944
100,1.6666666666666667,Night,0.2777777777777778,1.6666666666666667,2,2,0,2,0,7.700304000081815,20000,2025-10-12 17:57:45.776944
101,1.6833333333333333,Night,0.28055555555555556,1.6833333333333333,2,2,0,2,0,7.052968999687437,20000,2025-10-12 17:57:46.776944
102,1.7,Night,0.2833333333333333,1.7,1,1,0,1,0,7.256629000039538,10000,2025-10-12 17:57:47.776944
103,1.7166666666666666,Night,0.2861111111111111,1.7166666666666666,2,2,0,2,0,7.675615000152902,20000,2025-10-12 17:57:48.776944
104,1.7333333333333334,Night,0.2888888888888889,1.7333333333333334,1,1,0,1,0,7.128538999495504,10000,2025-10-12 17:57:49.776944
105,1.75,Night,0.2916666666666667,1.75,2,2,0,2,0,7.709138999871357,20000,2025-10-12 17:57:50.776944
106,1.7666666666666666,Night,0.29444444444444445,1.7666666666666666,1,1,0,1,0,6.5832789996420615,10000,2025-10-12 17:57:51.776944
107,1.7833333333333334,Night,0.2972222222222222,1.7833333333333332,2,2,0,2,0,5.614215499917918,20000,2025-10-12 17:57:52.776944
108,1.8,Night,0.3,1.7999999999999998,2,2,0,2,0,7.020910999926855,20000,2025-10-12 17:57:53.776944
109,1.8166666666666667,Night,0.30277777777777776,1.8166666666666664,2,2,0,2,0,9.060311000212096,20000,2025-10-12 17:57:54.776944
110,1.8333333333333333,Night,0.3055555555555555,1.833333333333333,2,2,0,2,0,5.203751000408374,20000,2025-10-12 17:57:55.776944
111,1.85,Night,0.30833333333333335,1.85,2,2,0,2,0,11.873739000293426,20000,2025-10-12 17:57:56.776944
112,1.8666666666666667,Night,0.3111111111111111,1.8666666666666667,2,2,0,2,0,9.849180999935925,20000,2025-10-12 17:57:57.776944
113,1.8833333333333333,Night,0.3138888888888889,1.8833333333333333,2,2,0,2,0,9.127604000241263,20000,2025-10-12 17:57:58.776944
114,1.9,Night,0.31666666666666665,1.9,2,2,0,2,0,10.492045999853872,20000,2025-10-12 17:57:59.776944
115,1.9166666666666667,Night,0.3194444444444445,1.916666666666667,2,2,0,2,0,10.162843499983865,20000,2025-10-12 17:58:00.776944
116,1.9333333333333333,Night,0.32222222222222224,1.9333333333333336,2,2,0,2,0,10.209393499735597,20000,2025-10-12 17:58:01.776944
117,1.95,Night,0.325,1.9500000000000002,2,2,0,2,0,4.872488000273734,20000,2025-10-12 17:58:02.776944
118,1.9666666666666666,Night,0.3277777777777778,1.9666666666666668,2,2,0,2,0,5.58756949931194,20000,2025-10-12 17:58:03.776944
119,1.9833333333333334,Night,0.33055555555555555,1.9833333333333334,2,2,0,2,0,7.190802999957668,20000,2025-10-12 17:58:04.776944
120,2.0,Night,0.3333333333333333,2.0,2,2,0,2,0,4.555262999929255,20000,2025-10-12 17:58:05.776944
121,2.0166666666666666,Night,0.3361111111111111,2.0166666666666666,2,2,0,2,0,5.423510000127862,20000,2025-10-12 17:58:06.776944
122,2.033333333333333,Night,0.33888888888888885,2.033333333333333,2,2,0,2,0,6.148578999727761,20000,2025-10-12 17:58:07.776944
123,2.05,Night,0.3416666666666666,2.05,2,2,0,2,0,7.818825999947876,20000,2025-10-12 17:58:08.776944
124,2.066666666666667,Night,0.3444444444444445,2.066666666666667,2,2,0,2,0,6.133912000223063,20000,2025-10-12 17:58:09.776944
125,2.0833333333333335,Night,0.34722222222222227,2.0833333333333335,2,2,0,2,0,6.941640499917412,20000,2025-10-12 17:58:10.776944
126,2.1,Night,0.35000000000000003,2.1,2,2,0,2,0,7.597215999339824,20000,2025-10-12 17:58:11.776944
127,2.1166666666666667,Night,0.3527777777777778,2.1166666666666667,3,3,0,3,0,8.278913333015225,30000,2025-10-12 17:58:12.776944
128,2.1333333333333333,Night,0.35555555555555557,2.1333333333333333,2,2,0,2,0,5.385585000112769,20000,2025-10-12 17:58:13.776944
129,2.15,Night,0.35833333333333334,2.15,2,2,0,2,0,4.3900165005652525,20000,2025-10-12 17:58:14.776944
130,2.1666666666666665,Night,0.3611111111111111,2.1666666666666665,2,2,0,2,0,4.425635999723454,20000,2025-10-12 17:58:15.776944
131,2.183333333333333,Night,0.3638888888888889,2.183333333333333,2,2,0,2,0,4.807394499493967,20000,2025-10-12 17:58:16.776944
132,2.2,Night,0.3666666666666667,2.2,2,2,0,2,0,4.626886500318506,20000,2025-10-12 17:58:17.776944
133,2.216666666666667,Night,0.36944444444444446,2.216666666666667,2,2,0,2,0,7.302935000552679,20000,2025-10-12 17:58:18.776944
134,2.2333333333333334,Night,0.37222222222222223,2.2333333333333334,2,2,0,2,0,4.631007499938278,20000,2025-10-12 17:58:19.776944
135,2.25,Night,0.375,2.25,2,2,0,2,0,7.731941499969253,20000,2025-10-12 17:58:20.776944
136,2.2666666666666666,Night,0.37777777777777777,2.2666666666666666,2,2,0,2,0,6.7062010002700845,20000,2025-10-12 17:58:21.776944
137,2.283333333333333,Night,0.38055555555555554,2.283333333333333,2,2,0,2,0,5.798738500288891,20000,2025-10-12 17:58:22.776944
138,2.3,Night,0.3833333333333333,2.3,2,2,0,2,0,7.659864500055846,20000,2025-10-12 17:58:23.776944
139,2.316666666666667,Night,0.3861111111111111,2.316666666666667,2,2,0,2,0,7.380250499863905,20000,2025-10-12 17:58:24.776944
140,2.3333333333333335,Night,0.3888888888888889,2.3333333333333335,3,3,0,3,0,8.039283333346248,30000,2025-10-12 17:58:25.776944
141,2.35,Night,0.39166666666666666,2.35,2,2,0,2,0,6.954246500299632,20000,2025-10-12 17:58:26.776944
142,2.3666666666666667,Night,0.39444444444444443,2.3666666666666667,2,2,0,2,0,5.188768499465368,20000,2025-10-12 17:58:27.776944
143,2.3833333333333333,Night,0.3972222222222222,2.3833333333333333,3,3,0,3,0,6.822651000220503,30000,2025-10-12 17:58:28.776944
144,2.4,Night,0.39999999999999997,2.4,2,2,0,2,0,6.689054999696964,20000,2025-10-12 17:58:29.776944
145,2.4166666666666665,Night,0.40277777777777773,2.4166666666666665,2,2,0,2,0,6.447189999562397,20000,2025-10-12 17:58:30.776944
146,2.433333333333333,Night,0.4055555555555555,2.433333333333333,3,3,0,3,0,7.519096666631715,30000,2025-10-12 17:58:31.776944
147,2.45,Night,0.4083333333333334,2.45,3,3,0,3,0,7.457402999837844,30000,2025-10-12 17:58:32.776944
148,2.466666666666667,Night,0.41111111111111115,2.466666666666667,3,3,0,3,0,8.04531333324121,30000,2025-10-12 17:58:33.776944
149,2.4833333333333334,Night,0.4138888888888889,2.4833333333333334,2,2,0,2,0,5.448931499813625,20000,2025-10-12 17:58:34.776944
150,2.5,Night,0.4166666666666667,2.5,3,3,0,3,0,4.797267000261248,30000,2025-10-12 17:58:35.776944
151,2.5166666666666666,Night,0.41944444444444445,2.5166666666666666,2,2,0,2,0,4.4335274997138185,20000,2025-10-12 17:58:36.776944
152,2.533333333333333,Night,0.4222222222222222,2.533333333333333,2,2,0,2,0,6.918346500242478,20000,2025-10-12 17:58:37.776944
153,2.55,Night,0.425,2.55,2,2,0,2,0,6.3439280002057785,20000,2025-10-12 17:58:38.776944
154,2.566666666666667,Night,0.4277777777777778,2.566666666666667,2,2,0,2,0,4.71569100045599,20000,2025-10-12 17:58:39.776944
155,2.5833333333333335,Night,0.4305555555555556,2.5833333333333335,3,3,0,3,0,5.536246667058246,30000,2025-10-12 17:58:40.776944
156,2.6,Night,0.43333333333333335,2.6,3,3,0,3,0,7.218774333220305,30000,2025-10-12 17:58:41.776944
157,2.6166666666666667,Night,0.4361111111111111,2.6166666666666667,2,2,0,2,0,6.466849999924307,20000,2025-10-12 17:58:42.776944
158,2.6333333333333333,Night,0.4388888888888889,2.6333333333333333,2,2,0,2,0,5.867776999821217,20000,2025-10-12 17:58:43.776944
159,2.65,Night,0.44166666666666665,2.65,3,3,0,3,0,8.309433999784233,30000,2025-10-12 17:58:44.776944
160,2.6666666666666665,Night,0.4444444444444444,2.6666666666666665,2,2,0,2,0,6.4942284998323885,20000,2025-10-12 17:58:45.776944
161,2.683333333333333,Night,0.4472222222222222,2.683333333333333,3,3,0,3,0,5.736065999978261,30000,2025-10-12 17:58:46.776944
162,2.7,Night,0.45,2.7,2,2,0,2,0,4.934577500080195,20000,2025-10-12 17:58:47.776944
163,2.716666666666667,Night,0.4527777777777778,2.716666666666667,3,3,0,3,0,4.790608333072062,30000,2025-10-12 17:58:48.776944
164,2.7333333333333334,Night,0.45555555555555555,2.7333333333333334,3,3,0,3,0,5.047699333772471,30000,2025-10-12 17:58:49.776944
165,2.75,Night,0.4583333333333333,2.75,2,2,0,2,0,8.449955999822123,20000,2025-10-12 17:58:50.776944
