ts,cpu_percent,rss_mb,power_w,energy_j_total
1760098663.0974972,0.00,400.59,0.000,0.000000
1760098664.09751,0.00,400.59,0.036,0.036359
1760098665.0974734,1.00,400.59,0.056,0.092646
1760098666.0973394,0.00,400.59,0.047,0.139854
1760098667.0976105,3.00,400.59,0.043,0.183263
1760098668.0975816,0.00,400.59,0.048,0.231051
1760098669.0975475,1.00,400.59,0.026,0.257448
1760098670.0975208,0.00,400.59,0.033,0.289978
1760098671.0972524,1.00,400.59,0.035,0.324720
1760098672.0974967,0.00,400.59,0.031,0.355267
1760098673.09746,0.00,400.59,0.036,0.391444
1760098674.0974967,0.00,400.59,0.013,0.404718
1760098675.0974925,0.00,400.59,0.019,0.424157
1760098676.097468,1.00,400.59,0.041,0.465414
1760098677.09747,0.00,400.59,0.023,0.488622
1760098678.097478,4.00,400.59,0.049,0.537188
1760098679.0974681,1.00,400.59,0.059,0.596572
1760098680.0974743,0.00,400.59,0.037,0.633924
1760098681.097458,0.00,400.59,0.031,0.665325
1760098682.097231,0.00,400.59,0.042,0.707223
1760098683.09762,1.00,400.59,0.026,0.733558
1760098684.0972688,1.00,400.59,0.041,0.774236
1760098685.0974352,0.00,400.59,0.030,0.804478
1760098686.097535,0.00,400.59,0.017,0.821048
1760098687.0975127,1.00,400.59,0.016,0.837359
1760098688.097462,2.00,400.59,0.013,0.849870
1760098689.0974655,1.00,400.59,0.028,0.878281
1760098690.0974689,0.00,400.59,0.017,0.895461
1760098691.0974972,0.00,400.59,0.030,0.925275
1760098692.0972383,1.00,400.59,0.040,0.964946
1760098693.0974658,1.00,400.59,0.045,1.009789
1760098694.0972588,0.00,400.59,0.173,1.182800
1760098695.0972624,0.00,400.59,0.018,1.200697
1760098696.0972595,1.00,400.59,0.023,1.223233
1760098697.0972571,0.00,400.59,0.035,1.258464
1760098698.09746,1.00,400.59,0.084,1.342032
1760098699.097578,1.00,400.59,0.050,1.391590
1760098700.0972967,1.00,400.59,0.025,1.416339
1760098701.0975392,1.00,400.59,0.022,1.438600
1760098702.09749,1.00,400.59,0.019,1.457871
1760098703.097467,1.00,400.59,0.024,1.482330
1760098704.0974753,1.00,400.59,0.027,1.509519
1760098705.0972738,1.00,400.59,0.017,1.526837
1760098706.09746,1.00,400.59,0.035,1.562236
1760098707.0972564,1.00,400.59,0.048,1.610512
1760098708.0972662,1.00,400.59,0.023,1.633735
1760098709.0972574,2.00,400.59,0.037,1.670262
1760098710.0977466,1.00,400.59,0.021,1.690876
1760098711.0972383,1.00,400.59,0.025,1.716311
1760098712.0974538,1.00,400.59,0.044,1.760040
1760098713.0972376,1.00,400.59,0.028,1.788527
1760098714.097493,1.00,400.59,0.062,1.850490
1760098715.0972223,3.00,400.59,0.029,1.879449
1760098716.097522,1.00,400.59,0.018,1.897195
1760098717.0972445,3.00,400.59,0.028,1.924720
1760098718.0974326,0.00,400.59,0.023,1.947729
1760098719.097294,2.00,400.59,0.031,1.978337
1760098720.0974746,2.00,400.59,0.056,2.034684
1760098721.097308,3.00,400.59,0.027,2.061905
1760098722.097468,1.00,400.59,0.030,2.091612
1760098723.09747,2.00,400.59,0.058,2.149165
1760098724.0974689,2.00,400.59,0.028,2.177377
1760098725.0974743,1.00,400.59,0.024,2.201470
1760098726.0972102,12.00,400.71,0.035,2.236136
1760098727.0973015,1.00,400.71,0.036,2.272145
1760098728.0974972,12.00,400.84,0.173,2.444743
1760098729.097477,13.00,400.96,0.022,2.466715
1760098730.0974963,13.00,400.96,0.025,2.491387
1760098731.0975885,7.00,400.96,0.030,2.521704
1760098732.0974798,4.00,400.96,0.028,2.550100
1760098733.0974667,16.00,400.96,0.041,2.591098
1760098734.0974658,20.00,401.09,0.022,2.613115
1760098735.0976686,9.00,401.09,0.082,2.695203
1760098736.097212,9.00,401.21,0.061,2.755991
1760098737.0973105,5.00,401.21,0.039,2.795006
1760098738.097488,34.00,401.21,0.042,2.837118
1760098739.0975206,14.00,401.21,0.007,2.843984
1760098740.0974953,14.00,401.21,0.030,2.873661
1760098741.0974717,18.00,401.34,0.110,2.983640
1760098742.0972779,9.00,401.34,0.075,3.058252
1760098743.0972111,9.00,401.34,0.032,3.090706
1760098744.0974803,18.00,401.34,0.221,3.311748
1760098745.0974958,26.00,401.34,0.033,3.344507
1760098746.0975065,11.00,401.34,0.036,3.380928
1760098747.0974636,1.00,401.34,0.023,3.404120
1760098748.0974998,1.00,401.34,0.033,3.437551
1760098749.097504,2.00,401.34,0.030,3.467655
1760098750.097364,4.00,401.34,0.026,3.493288
1760098751.0973396,3.00,401.34,0.036,3.529541
1760098752.097503,5.00,401.34,0.036,3.565214
1760098753.097508,1.00,401.34,0.029,3.594250
1760098754.097498,4.00,401.34,0.220,3.813920
1760098755.0972211,9.00,401.46,0.305,4.119232
1760098756.097273,4.00,401.46,0.197,4.316335
1760098757.0975134,2.00,401.46,0.083,4.399201
1760098758.0976295,1.00,401.46,0.028,4.426971
1760098759.097308,3.00,401.46,0.029,4.455610
1760098760.097483,5.00,401.46,0.043,4.498378
1760098761.097226,7.00,401.46,0.015,4.513484
1760098762.097249,1.00,401.46,0.037,4.549996
1760098763.0976312,20.00,412.34,0.288,4.838357
1760098764.097468,2.00,404.70,0.016,4.854531
1760098765.0975645,5.00,404.70,0.044,4.898062
1760098766.097506,2.00,404.70,0.041,4.938923
1760098767.0974934,2.00,404.70,0.031,4.970339
1760098768.0974534,5.00,404.70,0.023,4.993775
1760098769.0974524,3.00,404.70,0.034,5.027800
1760098770.0974984,2.00,404.70,0.012,5.039885
1760098771.0974877,5.00,404.70,0.046,5.085521
1760098772.097712,30.00,404.70,0.031,5.116526
1760098773.097477,12.00,404.70,0.017,5.133401
