sim_second,sim_minute,phase,phase_progress,target_rps,sent_total,sent_cpu,sent_file,succ,err,avg_latency_ms,bytes,wall_time
0,0.0,Night,0.0,0.0,0,0,0,0,0,0.0,0,2025-10-10 14:17:42.526162
1,0.016666666666666666,Night,0.02777777777777778,0.02777777777777778,0,0,0,0,0,0.0,0,2025-10-10 14:17:43.526162
2,0.03333333333333333,Night,0.05555555555555556,0.05555555555555556,0,0,0,0,0,0.0,0,2025-10-10 14:17:44.526162
3,0.05,Night,0.08333333333333334,0.08333333333333334,0,0,0,0,0,0.0,0,2025-10-10 14:17:45.526162
4,0.06666666666666667,Night,0.11111111111111112,0.11111111111111112,0,0,0,0,0,0.0,0,2025-10-10 14:17:46.526162
5,0.08333333333333333,Night,0.1388888888888889,0.1388888888888889,0,0,0,0,0,0.0,0,2025-10-10 14:17:47.526162
6,0.1,Night,0.16666666666666669,0.16666666666666669,1,1,0,1,0,6.362498999806121,5000,2025-10-10 14:17:48.526162
7,0.11666666666666667,Night,0.19444444444444445,0.19444444444444445,0,0,0,0,0,0.0,0,2025-10-10 14:17:49.526162
8,0.13333333333333333,Night,0.22222222222222224,0.22222222222222224,0,0,0,0,0,0.0,0,2025-10-10 14:17:50.526162
9,0.15,Night,0.25,0.25,0,0,0,0,0,0.0,0,2025-10-10 14:17:51.526162
10,0.16666666666666666,Night,0.2777777777777778,0.2777777777777778,0,0,0,0,0,0.0,0,2025-10-10 14:17:52.526162
11,0.18333333333333332,Night,0.3055555555555555,0.3055555555555555,0,0,0,0,0,0.0,0,2025-10-10 14:17:53.526162
12,0.2,Night,0.33333333333333337,0.33333333333333337,0,0,0,0,0,0.0,0,2025-10-10 14:17:54.526162
13,0.21666666666666667,Night,0.36111111111111116,0.36111111111111116,1,1,0,1,0,5.049907000284293,5000,2025-10-10 14:17:55.526162
14,0.23333333333333334,Night,0.3888888888888889,0.3888888888888889,0,0,0,0,0,0.0,0,2025-10-10 14:17:56.526162
15,0.25,Night,0.4166666666666667,0.4166666666666667,1,1,0,1,0,4.699963000348362,5000,2025-10-10 14:17:57.526162
16,0.26666666666666666,Night,0.4444444444444445,0.4444444444444445,0,0,0,0,0,0.0,0,2025-10-10 14:17:58.526162
17,0.2833333333333333,Night,0.4722222222222222,0.4722222222222222,1,1,0,1,0,4.724237999653269,5000,2025-10-10 14:17:59.526162
18,0.3,Night,0.5,0.5,0,0,0,0,0,0.0,0,2025-10-10 14:18:00.526162
19,0.31666666666666665,Night,0.5277777777777778,0.5277777777777778,0,0,0,0,0,0.0,0,2025-10-10 14:18:01.526162
20,0.3333333333333333,Night,0.5555555555555556,0.5555555555555556,1,1,0,1,0,4.9835010004244396,5000,2025-10-10 14:18:02.526162
21,0.35,Night,0.5833333333333334,0.5833333333333334,0,0,0,0,0,0.0,0,2025-10-10 14:18:03.526162
22,0.36666666666666664,Night,0.611111111111111,0.611111111111111,0,0,0,0,0,0.0,0,2025-10-10 14:18:04.526162
23,0.38333333333333336,Night,0.638888888888889,0.638888888888889,1,1,0,1,0,4.8892009999690345,5000,2025-10-10 14:18:05.526162
24,0.4,Night,0.6666666666666667,0.6666666666666667,1,1,0,1,0,4.931741999826045,5000,2025-10-10 14:18:06.526162
25,0.4166666666666667,Night,0.6944444444444445,0.6944444444444445,1,1,0,1,0,4.719790000308421,5000,2025-10-10 14:18:07.526162
26,0.43333333333333335,Night,0.7222222222222223,0.7222222222222223,1,1,0,1,0,4.66375300038635,5000,2025-10-10 14:18:08.526162
27,0.45,Night,0.75,0.75,1,1,0,1,0,4.691364999416692,5000,2025-10-10 14:18:09.526162
28,0.4666666666666667,Night,0.7777777777777778,0.7777777777777778,1,1,0,1,0,4.327314999500231,5000,2025-10-10 14:18:10.526162
29,0.48333333333333334,Night,0.8055555555555556,0.8055555555555556,1,1,0,1,0,4.455837999557843,5000,2025-10-10 14:18:11.526162
30,0.5,Night,0.8333333333333334,0.8333333333333334,1,1,0,1,0,4.551670999717317,5000,2025-10-10 14:18:12.526162
31,0.5166666666666667,Night,0.8611111111111113,0.8611111111111113,0,0,0,0,0,0.0,0,2025-10-10 14:18:13.526162
32,0.5333333333333333,Night,0.888888888888889,0.888888888888889,1,1,0,1,0,4.573661999529577,5000,2025-10-10 14:18:14.526162
