ts,stage,rps,avg_ms,p50_ms,p95_ms,ok,err
1759999864,overnight,7,3.765,3.440,6.827,0,7
1759999865,overnight,20,3.180,3.384,3.749,0,20
1759999866,overnight,20,3.398,3.400,3.579,0,20
1759999867,overnight,20,3.098,3.407,3.716,0,20
1759999868,overnight,20,3.102,3.399,3.787,0,20
1759999869,overnight,20,3.544,3.530,4.168,0,20
1759999870,overnight,20,3.373,3.484,3.854,0,20
1759999871,overnight,20,3.508,3.516,3.949,0,20
1759999872,overnight,20,3.523,3.506,3.835,0,20
1759999873,overnight,20,3.428,3.453,3.746,0,20
1759999874,breakfast,13,3.231,3.365,3.532,0,13
1759999874,overnight,14,3.692,3.513,3.992,0,14
1759999875,breakfast,50,3.477,3.462,3.905,0,50
1759999876,breakfast,50,3.486,3.463,4.171,0,50
1759999877,breakfast,50,3.688,3.469,4.044,0,50
1759999878,breakfast,50,3.433,3.444,4.058,0,50
1759999879,breakfast,50,3.420,3.439,3.802,0,50
1759999880,breakfast,50,3.528,3.483,3.910,0,50
1759999881,breakfast,50,3.499,3.500,3.899,0,50
1759999882,breakfast,50,3.564,3.530,3.860,0,50
1759999883,breakfast,50,3.499,3.491,3.745,0,50
1759999884,breakfast,38,3.640,3.578,3.858,0,38
1759999884,lunch_peak,33,1.654,1.498,2.129,0,33
1759999885,lunch_peak,160,1.587,1.483,1.903,0,160
1759999886,lunch_peak,160,1.626,1.543,1.952,0,160
1759999887,lunch_peak,160,1.626,1.549,1.999,0,160
1759999888,lunch_peak,160,1.599,1.499,1.930,0,160
1759999889,lunch_peak,160,1.758,1.598,2.380,0,160
1759999890,lunch_peak,160,1.536,1.498,1.934,0,160
1759999891,lunch_peak,160,1.600,1.498,1.997,0,160
1759999892,lunch_peak,160,1.607,1.549,2.031,0,160
1759999893,lunch_peak,160,1.644,1.600,1.956,0,160
1759999894,afternoon,12,1.858,1.770,2.033,0,12
1759999894,lunch_peak,128,1.615,1.498,1.950,0,128
1759999895,afternoon,80,2.571,2.697,3.498,0,80
1759999896,afternoon,80,2.137,1.764,3.407,0,80
1759999897,afternoon,81,2.573,2.634,3.566,0,81
1759999898,afternoon,79,2.852,3.285,3.630,0,79
1759999899,afternoon,80,2.442,2.111,3.591,0,80
1759999900,afternoon,80,3.443,3.387,3.776,0,80
1759999901,afternoon,80,2.175,1.813,3.537,0,80
1759999902,afternoon,80,1.696,1.721,2.059,0,80
1759999903,afternoon,80,1.776,1.723,2.398,0,80
1759999904,afternoon,69,1.913,1.800,2.760,0,69
1759999904,dinner_peak,19,1.852,1.799,2.392,0,19
1759999905,dinner_peak,190,1.559,1.472,1.923,0,190
1759999906,dinner_peak,190,1.567,1.502,1.865,0,190
1759999907,dinner_peak,190,1.571,1.523,1.855,0,190
1759999908,dinner_peak,190,1.582,1.519,1.920,0,190
1759999909,dinner_peak,190,1.589,1.523,1.880,0,190
1759999910,dinner_peak,190,1.635,1.535,2.005,0,190
1759999911,dinner_peak,190,1.604,1.536,1.954,0,190
1759999912,dinner_peak,190,1.628,1.513,2.008,0,190
1759999913,dinner_peak,190,1.569,1.483,1.923,0,190
1759999914,dinner_peak,172,1.545,1.473,1.864,0,172
1759999914,late_evening,3,2.305,1.587,3.993,0,3
1759999915,late_evening,60,2.953,3.329,3.723,0,60
1759999916,late_evening,60,3.085,3.318,3.735,0,60
1759999917,late_evening,60,3.066,3.361,3.717,0,60
1759999918,late_evening,60,3.375,3.409,3.781,0,60
1759999919,late_evening,60,3.446,3.403,3.869,0,60
1759999920,late_evening,60,3.285,3.412,3.718,0,60
1759999921,late_evening,60,3.451,3.431,3.812,0,60
1759999922,late_evening,60,3.446,3.430,3.672,0,60
1759999923,late_evening,60,3.311,3.425,3.875,0,60
1759999924,late_evening,58,3.438,3.423,3.898,0,58
