ts,cpu_percent,rss_mb,power_w,energy_j_total
1759999865.6001232,3.00,393.22,0.000,0.000000
1759999866.6001208,2.00,393.22,0.065,0.064785
1759999867.6001072,3.00,393.22,0.061,0.126046
1759999868.6000865,2.00,393.22,0.097,0.223163
1759999869.6001027,4.00,393.22,0.125,0.348004
1759999870.6005716,2.00,393.22,0.075,0.423348
1759999871.6005068,3.00,393.22,0.058,0.481267
1759999872.600461,3.00,393.22,0.054,0.535677
1759999873.6000962,2.00,393.22,0.048,0.584106
1759999874.6003363,3.00,393.22,0.068,0.651821
1759999875.600143,7.00,393.22,0.069,0.720360
1759999876.6001387,6.00,393.22,0.067,0.787602
1759999877.60014,7.00,393.22,0.110,0.897429
1759999878.6001508,7.00,393.22,0.098,0.995905
1759999879.6001189,6.00,393.22,0.064,1.060354
1759999880.6001384,7.00,393.22,0.123,1.183319
1759999881.600203,7.00,393.22,0.053,1.236538
1759999882.6002114,6.00,393.22,0.065,1.301751
1759999883.6001344,7.00,393.22,0.050,1.352225
1759999884.6001432,6.00,393.22,0.056,1.408344
1759999885.6000917,9.00,393.22,0.066,1.474182
1759999886.6000988,10.00,393.22,0.147,1.621284
1759999887.6000912,10.00,393.22,0.095,1.715930
1759999888.6000888,9.00,393.22,0.068,1.783950
1759999889.6000993,9.00,393.22,0.098,1.881494
1759999890.600113,10.00,393.22,0.154,2.035875
1759999891.600092,9.00,393.22,0.091,2.126690
1759999892.6001117,13.00,393.22,0.405,2.531622
1759999893.6001122,10.00,393.22,0.118,2.649750
1759999894.600112,10.00,393.22,0.125,2.774881
1759999895.6002135,8.00,393.22,0.154,2.928620
1759999896.6001153,7.00,393.22,0.108,3.036403
1759999897.600155,7.00,393.22,0.027,3.063226
1759999898.6001356,8.00,393.22,0.074,3.137334
1759999899.6001554,8.00,393.22,0.129,3.265929
1759999900.6001189,9.00,393.22,0.078,3.343851
1759999901.6000915,8.00,393.22,0.089,3.433278
1759999902.6000876,5.00,393.22,0.029,3.461933
1759999903.6000874,5.00,393.22,0.022,3.484255
1759999904.6001158,7.00,393.22,0.046,3.530213
1759999905.6000924,9.00,393.22,0.075,3.605587
1759999906.6000874,12.00,393.22,0.052,3.657541
1759999907.6001098,12.00,393.22,0.094,3.751148
1759999908.6000888,11.00,393.22,0.114,3.864698
1759999909.6001103,10.00,393.22,0.067,3.931528
1759999910.600089,15.00,393.22,0.054,3.985954
1759999911.600111,10.00,393.22,0.064,4.049808
1759999912.6000876,12.00,393.22,0.328,4.378084
1759999913.6000881,12.00,393.22,0.182,4.560173
1759999914.6001105,11.00,393.22,0.123,4.683549
1759999915.6002474,8.00,393.22,0.114,4.797283
1759999916.600121,6.00,393.22,0.081,4.878409
1759999917.6002893,7.00,393.22,0.061,4.939060
1759999918.6002517,8.00,393.22,0.057,4.995576
1759999919.6002624,7.00,393.22,0.071,5.066617
1759999920.6001515,8.00,393.22,0.060,5.127023
1759999921.6002543,8.00,393.22,0.057,5.183630
1759999922.6002603,7.00,393.22,0.049,5.232639
1759999923.6001518,8.00,393.22,0.042,5.275072
1759999924.6001537,7.00,393.22,0.038,5.313247
1759999925.6001549,3.00,393.22,0.067,5.380581
1759999926.600342,1.00,393.22,0.060,5.440865
1759999927.6001513,0.00,393.22,0.042,5.482977
1759999928.6001377,0.00,393.22,0.066,5.548617
1759999929.6003382,0.00,393.22,0.062,5.610504
